SampleID	SampleIDeukfrac	EUKfrac	SampleID-DNA	DNA_extract_conc_ng-µL	Sect_ID	Station_number	Cast_number	Samp_number	Date	time	lon	lat	bottom_depth	depth	Temperature	Salinity	Expocode	Pressure	Oxygen	Phosphate	Silicate	Nitrate	Nitrite	comments
P16N-S61-N01	P16N-S61-N01.trimmed	0.0391323	P16N-S61-N01	1.47165651178611	P16N	61	1	1	20060320	20060320T07:44	-152.0003	39	5779	998.636502378016	3.2747	34.3081	P16N_3250TT191	1008.7	8.9	3.11	130.3	44.18	0	
P16N-S61-N03	P16N-S61-N03.trimmed	0.16048913	P16N-S61-N03	3.56423197481716	P16N	61	1	3	20060320	20060320T07:55	-152.0003	39	5777	501.456206023401	5.8247	33.9631	P16N_3250TT191	505.9	111.5	2.22	58.14	31.71	0	
P16N-S61-N04	P16N-S61-N04.trimmed	0.03595446	P16N-S61-N04	4.62120894397437	P16N	61	1	4	20060320	20060320T08:00	-152.0003	39	5782	252.81386840823	9.3365	34.0623	P16N_3250TT191	254.9	215.9	1.12	18.83	16.29	0.01	
P16N-S61-N05	P16N-S61-N05.trimmed	0.03672931	P16N-S61-N05	6.54401416210807	P16N	61	1	5	20060320	20060320T08:01	-152.0003	39	5777	201.661311805266	10.0966	34.089	P16N_3250TT191	203.3	216.9	0.99	14.73	14.44	0.01	
P16N-S61-N08	P16N-S61-N08.trimmed	0.02074546	P16N-S61-N08	15.3632639951831	P16N	61	1	8	20060320	20060320T08:05	-152.0003	39	5778	103.880850855463	11.9518	33.6524	P16N_3250TT191	104.7	258.8	0.24	1.85	0.78	0.09	
P16N-S61-N11	P16N-S61-N11.trimmed	0.03213215	P16N-S61-N11	17.3696967783958	P16N	61	1	11	20060320	20060320T08:07	-152.0003	39	5777	38.0064635470876	12.017	33.6642	P16N_3250TT191	38.3	272.6	0.23	1.85	0.68	0.08	
P16N-S61-N12	P16N-S61-N12.trimmed	0.02884805	P16N-S61-N12	19.7590557806548	P16N	61	1	12	20060320	20060320T08:08	-152.0003	39	5777	24.7099657858487	12.0157	33.6597	P16N_3250TT191	24.9	271.5	0.23	1.66	0.68	0.08	
P16N-S66-N01	P16N-S66-N01.trimmed	0.02225936	P16N-S66-N01	1.60307125691036	P16N	66	3	1	20060324	20060324T00:26	-152.0004	45.0022	5281	1002.92433434078	3.0835	34.3435	P16N_3250TT191	1013.6	19.5	3.08	135.99	43.38	0	
P16N-S66-N03	P16N-S66-N03.trimmed	0.01570357	P16N-S66-N03	3.6566624414835	P16N	66	3	3	20060324	20060324T00:39	-152.0004	45.0022	5277	500.58688578008	4.5122	34.0284	P16N_3250TT191	505.3	54.8	2.68	84.62	38.01	0	
P16N-S66-N04	P16N-S66-N04.trimmed	0.16034751	P16N-S66-N04	5.93912906732566	P16N	66	3	4	20060324	20060324T00:46	-152.0004	45.0021	5331	251.981436970436	6.3475	33.8672	P16N_3250TT191	254.2	174.6	1.67	38.31	23.06	0.01	
P16N-S66-N05	P16N-S66-N05.trimmed	0.02587353	P16N-S66-N05	6.00515082923019	P16N	66	3	5	20060324	20060324T00:48	-152.0004	45.0022	5329	203.532263671283	6.9927	33.8563	P16N_3250TT191	205.3	204.5	1.4	28.93	19.06	0.01	
P16N-S66-N06	P16N-S66-N06.trimmed	0.13680238	P16N-S66-N06	7.67015678659384	P16N	66	3	6	20060324	20060324T00:50	-152.0004	45.0021	5364	154.377862660929	7.7128	33.7921	P16N_3250TT191	155.7	233.6	1.17	20.53	15.05	0.01	
P16N-S66-N08	P16N-S66-N08.trimmed	0.15311191	P16N-S66-N08	15.7820305992632	P16N	66	3	8	20060324	20060324T00:51	-152.0004	45.0022	5275	104.41857398755	7.0729	32.9213	P16N_3250TT191	105.3	298.9	0.96	11.83	8.61	0.14	FILTER FELL ON FLOOR
P16N-S66-N11	P16N-S66-N11.trimmed	0.05106062	P16N-S66-N11	13.5341468010853	P16N	66	3	11	20060324	20060324T00:55	-152.0004	45.0022	5274	37.1922109479786	7.0922	32.9221	P16N_3250TT191	37.5	299.9	0.96	11.93	8.61	0.15	
P16N-S66-N12	P16N-S66-N12.trimmed	0.03939413	P16N-S66-N12	17.7098660468753	P16N	66	3	12	20060324	20060324T00:55	-152.0004	45.0022	5275	22.71284748208	7.0964	32.9229	P16N_3250TT191	22.9	299.9	0.96	11.93	8.61	0.14	
P16N-S72-N01	P16N-S72-N01.trimmed	0.02619167	P16N-S72-N01	1.57540499477894	P16N	72	2	1	20060326	20060326T14:38	-151.9999	50.9998	4972	949.093642207484	2.8673	34.3764	P16N_3250TT191	959.6	19.2	3.04	142.2	43.56	0	
P16N-S72-N03	P16N-S72-N03.trimmed	0.02050909	P16N-S72-N03	2.10672298343916	P16N	72	2	3	20060326	20060326T14:47	-151.9999	50.9998	4970	549.455560409353	3.5262	34.1734	P16N_3250TT191	555	20	2.99	116.05	43.18	0	
P16N-S72-N04	P16N-S72-N04.trimmed	0.01893947	P16N-S72-N04	3.81888734216319	P16N	72	2	4	20060326	20060326T14:54	-151.9999	50.9998	5010	276.000469789865	3.9739	33.9534	P16N_3250TT191	278.6	44	2.86	89.59	41.42	0	
P16N-S72-N05	P16N-S72-N05.trimmed	0.01412315	P16N-S72-N05	4.71615452537993	P16N	72	2	5	20060326	20060326T14:56	-151.9999	50.9998	4950	225.306061494396	3.9332	33.8603	P16N_3250TT191	227.4	74.2	2.78	81.78	40.35	0	
P16N-S72-N06	P16N-S72-N06.trimmed	0.01361624	P16N-S72-N06	5.02551363830399	P16N	72	2	6	20060326	20060326T14:57	-151.9998	50.9998	4956	176.679152114049	4.0571	33.8143	P16N_3250TT191	178.3	94	2.57	72.69	36.64	0	
P16N-S72-N08	P16N-S72-N08.trimmed	0.02494337	P16N-S72-N08	8.32031394668221	P16N	72	2	8	20060326	20060326T15:00	-151.9998	50.9998	4956	107.531834663597	4.1743	33.5434	P16N_3250TT191	108.5	198.7	2.2	52.28	29.9	0.01	
P16N-S72-N11	P16N-S72-N11.trimmed	0.09811531	P16N-S72-N11	21.6655127529836	P16N	72	2	11	20060326	20060326T15:03	-151.9999	50.9998	4940	41.7310464942694	4.5638	32.6655	P16N_3250TT191	42.1	315.2	1.35	23.37	13.01	0.13	
P16N-S72-N12	P16N-S72-N12.trimmed	0.07699242	P16N-S72-N12	25.6588861801802	P16N	72	2	12	20060326	20060326T15:05	-151.9999	50.9998	4991	22.3038756541207	4.5731	32.665	P16N_3250TT191	22.5	316.7	1.35	23.37	13.01	0.13	
P16S-S05-N03	P16S-S05-N03.trimmed	0.01133701	P16S-S05-N03	1.0931317435335	P16S	5	2	3	20050111	20050111T00:00	-150.0001	-18	-999	437.889329358417	10.109	34.5925	P16S_33RR200501	441	171.3	1.51	9.05	20	0	extracted 1/21/05 MM
P16S-S05-N05	P16S-S05-N05.trimmed	0.02756134	P16S-S05-N05	2.0991776392215	P16S	5	2	5	20050111	20050111T00:00	-150.0001	-18	-999	218.068211833672	20.3194	35.7133	P16S_33RR200501	219.5	164.3	0.41	1.06	3.43	0.01	extracted 1/21/05 MM
P16S-S05-N08	P16S-S05-N08.trimmed	0.02085346	P16S-S05-N08	7.13129345371595	P16S	5	2	8	20050111	20050111T00:00	-150.0001	-18	-999	89.937741107236	25.3227	35.9384	P16S_33RR200501	90.5	173.1	0.16	0.64	0.13	0	extracted 1/21/05 MM
P16S-S05-N10	P16S-S05-N10.trimmed	0.01791702	P16S-S05-N10	8.28824623375715	P16S	5	2	10	20050111	20050111T00:00	-150.0001	-18	-999	54.4642493973459	26.1921	35.9553	P16S_33RR200501	54.8	204.2	0.14	0.64	0.02	0	extracted 1/21/05 MM
P16S-S05-N11	P16S-S05-N11.trimmed	0.01401434	P16S-S05-N11	7.11683154396543	P16S	5	2	11	20050111	20050111T00:00	-150.0001	-18	-999	34.5884630722222	27.5811	36.0063	P16S_33RR200501	34.8	208.2	0.14	0.64	0.12	0	extracted 1/21/05 MM
P16S-S05-N12	P16S-S05-N12.trimmed	0.01509984	P16S-S05-N12	6.92065259430627	P16S	5	2	12	20050111	20050111T00:00	-150.0001	-18	-999	20.0779221508279	28.3588	36.0813	P16S_33RR200501	20.2	196	0.17	0.85	0	0	extracted 1/21/05 MM
P16S-S05-N14	P16S-S05-N14.trimmed	0.0253272	P16S-S05-N14	2.6386697507842	P16S	5	2	14	20050111	20050111T00:00	-150.0001	-18	-999	168.811995255896	22.0795	35.8668	P16S_33RR200501	169.9	190.8	0.36	0.85	2.49	0.02	extracted 1/21/05 MM
P16S-S05-N15	P16S-S05-N15.trimmed	0.0329147	P16S-S05-N15	7.74938290087927	P16S	5	2	15	20050111	20050111T00:00	-150.0001	-18	-999	119.54397208504	24.2617	35.891	P16S_33RR200501	120.3	176.6	0.19	0.64	-0.01	0	extracted 1/21/05 MM
P16S-S104-N21	P16S-S104-N21.trimmed	0.17012757	P16S-S104-N21	2.53572911091381	  P16S	104	2	21	20050209	20050208T00:00	-150.0002	-67.5007	-999	422.701393248976	1.3501	34.7304	  33RR20050109	427.4	182.6	2.23	103.97	32.45	0	extracted 2/17/05 MM
P16S-S104-N23	P16S-S104-N23.trimmed	0.09379536	P16S-S104-N23	1.70631608990092	  P16S	104	2	23	20050209	20050208T00:00	-150.0002	-67.5007	-999	323.088013284992	1.4438	34.7282	  33RR20050109	326.6	181.6	2.23	100.04	32.5	0.01	extracted 2/17/05 MM
P16S-S104-N25	P16S-S104-N25.trimmed	0.079263	P16S-S104-N25	3.97173770142448	  P16S	104	2	25	20050209	20050208T00:00	-150.0002	-67.5007	-999	223.327402822339	1.4358	34.7075	  33RR20050109	225.7	181	2.25	94.85	32.55	0.02	extracted 2/17/05 MM
P16S-S104-N27	P16S-S104-N27.trimmed	0.09355236	P16S-S104-N27	4.89825922369469	  P16S	104	2	27	20050209	20050208T00:00	-150.0002	-67.5007	-999	123.617160375599	-1.1325	34.1819	  33RR20050109	124.9	285.6	2.02	56.81	28.82	0.09	extracted 2/17/05 MM
P16S-S104-N28	P16S-S104-N28.trimmed	0.08024332	P16S-S104-N28	6.52116842278966	  P16S	104	2	28	20050209	20050208T00:00	-150.0002	-67.5007	-999	93.8331532618899	-1.6891	34.0629	  33RR20050109	94.8	313.3	1.93	48.55	26.88	0.27	extracted 2/17/05 MM
P16S-S104-N29	P16S-S104-N29.trimmed	0.04059921	P16S-S104-N29	14.5233080024256	  P16S	104	2	29	20050209	20050208T00:00	-150.0002	-67.5007	-999	58.8982073620204	-1.4738	33.9424	  33RR20050109	59.5	332	1.9	46.92	25.46	0.18	extracted 2/17/05 MM
P16S-S104-N30	P16S-S104-N30.trimmed	0.1237827	P16S-S104-N30	25.5464531485735	  P16S	104	2	30	20050209	20050208T00:00	-150.0002	-67.5007	-999	39.0034019803514	-0.1649	33.556	  33RR20050109	39.4	348.6	1.38	32.91	20.5	0.14	extracted 2/17/05 MM
P16S-S104-N31	P16S-S104-N31.trimmed	0.15193295	P16S-S104-N31	27.5937131956286	  P16S	104	2	31	20050209	20050208T00:00	-150.0002	-67.5007	-999	1.98004767616226	-0.0973	33.5094	  33RR20050109	2	350.6	1.41	34.57	19.9	0.12	extracted 2/17/05 MM
P16S-S15-N03	P16S-S15-N03.trimmed	0.07964314	P16S-S15-N03	1.42575566779535	P16S	15	1	3	20050114	20050113T00:00	-150.0003	-23	-999	483.167070940025	8.8931	34.5016	P16S_33RR200501	486.8	229.7	1.34	5.16	18.81	0	extracted 1/21/05 MM
P16S-S15-N05	P16S-S15-N05.trimmed	0.01712065	P16S-S15-N05	3.46551372130278	P16S	15	1	5	20050114	20050113T00:00	-150.0003	-23	-999	235.075247029951	17.8833	35.4466	P16S_33RR200501	236.7	206.7	0.25	0.42	1.79	0.02	extracted 1/21/05 MM
P16S-S15-N08	P16S-S15-N08.trimmed	0.03622921	P16S-S15-N08	9.6885363648179	P16S	15	1	8	20050114	20050113T00:00	-150.0003	-23	-999	105.305683948712	20.8811	35.5646	P16S_33RR200501	106	212.3	0.09	0.22	0.06	0	extracted 1/21/05 MM
P16S-S15-N09	P16S-S15-N09.trimmed	0.02310514	P16S-S15-N09	9.92118447819575	P16S	15	1	9	20050114	20050113T00:00	-150.0003	-23	-999	84.6461913999396	21.5951	35.5778	P16S_33RR200501	85.2	221.3	0.09	0.22	0.06	0	extracted 1/21/05 MM
P16S-S15-N10	P16S-S15-N10.trimmed	0.02462788	P16S-S15-N10	7.39035027185561	P16S	15	1	10	20050114	20050113T00:00	-150.0003	-23	-999	63.984618060615	22.2563	35.6173	P16S_33RR200501	64.4	221.4	0.12	0.22	0.06	0	extracted 1/21/05 MM
P16S-S15-N11	P16S-S15-N11.trimmed	0.02882566	P16S-S15-N11	6.44340957253927	P16S	15	1	11	20050114	20050113T00:00	-150.0003	-23	-999	39.2475925194116	24.2234	35.6165	P16S_33RR200501	39.5	217.6	0.11	0.22	0.06	0	extracted 1/21/05 MM
P16S-S15-N12	P16S-S15-N12.trimmed	0.02119251	P16S-S15-N12	6.22962481970557	P16S	15	1	12	20050114	20050113T00:00	-150.0003	-23	-999	14.209490391094	26.6121	35.6588	P16S_33RR200501	14.3	201.7	0.12	0.42	0.06	0	extracted 1/21/05 MM
P16S-S15-N15	P16S-S15-N15.trimmed	0.02754819	P16S-S15-N15	7.79213985144601	P16S	15	1	15	20050114	20050113T00:00	-150.0003	-23	-999	134.007008002324	20.4278	35.5741	P16S_33RR200501	134.9	203.3	0.09	0.22	0.06	0	extracted 1/21/05 MM
P16S-S33-N03	P16S-S33-N03.trimmed	0.03163894	P16S-S33-N03	1.52321636394012	P16S	33	1	3	20050119	20050118T00:00	-150.0004	-32	-999	482.245681748061	7.8078	34.4345	P16S_33RR200501	486.2	237.6	1.36	5.1	19.6	0	extracted 1/21/05 MM
P16S-S33-N05	P16S-S33-N05.trimmed	0.03786866	P16S-S33-N05	3.36428035304917	P16S	33	1	5	20050119	20050118T00:00	-150.0004	-32	-999	232.932361992943	14.757	35.2066	P16S_33RR200501	234.7	227.9	0.51	1.51	5.91	0.01	extracted 1/21/05 MM
P16S-S33-N08	P16S-S33-N08.trimmed	0.03213808	P16S-S33-N08	8.58754488772433	P16S	33	1	8	20050119	20050118T00:00	-150.0004	-32	-999	104.142641182879	17.5471	35.4512	P16S_33RR200501	104.9	211.7	0.09	0.69	0.06	0	extracted 1/21/05 MM
P16S-S33-N09	P16S-S33-N09.trimmed	0.05219453	P16S-S33-N09	10.8863597593714	P16S	33	1	9	20050119	20050118T00:00	-150.0004	-32	-999	86.3756205208776	18.0168	35.466	P16S_33RR200501	87	221.3	0.08	0.49	0.12	0	extracted 1/21/05 MM
P16S-S33-N10	P16S-S33-N10.trimmed	0.04203303	P16S-S33-N10	10.3663597870377	P16S	33	1	10	20050119	20050118T00:00	-150.0004	-32	-999	66.3238372043975	18.8369	35.5146	P16S_33RR200501	66.8	241.2	0.07	0.48	0.06	0	extracted 1/21/05 MM
P16S-S33-N11	P16S-S33-N11.trimmed	0.0365445	P16S-S33-N11	6.92505404509991	P16S	33	1	11	20050119	20050118T00:00	-150.0004	-32	-999	36.2424828451852	22.6575	35.441	P16S_33RR200501	36.5	237.8	0.07	0.48	0.06	0	extracted 1/21/05 MM
P16S-S33-N12	P16S-S33-N12.trimmed	0.0194464	P16S-S33-N12	5.49269620111411	P16S	33	1	12	20050119	20050118T00:00	-150.0004	-32	-999	20.6540367620786	22.7762	35.4151	P16S_33RR200501	20.8	215.7	0.08	0.47	0.06	0	extracted 1/21/05 MM
P16S-S33-N15	P16S-S33-N15.trimmed	0.03842902	P16S-S33-N15	10.1972183208251	P16S	33	1	15	20050119	20050118T00:00	-150.0004	-32	-999	135.007939435152	16.7138	35.4139	P16S_33RR200501	136	200.8	0.16	0.7	0.41	0.03	extracted 1/21/05 MM
P16S-S47-N03	P16S-S47-N03.trimmed	0.07969666	P16S-S47-N03	2.37898415395973	P16S	47	1	3	20050123	20050122T00:00	-150.0005	-39	-999	467.397051963178	7.2153	34.3912	P16S_33RR200501	471.5	245.6	1.45	6.29	21.11	0	extracted 2/17/05 MM
P16S-S47-N04	P16S-S47-N04.trimmed	0.12982843	P16S-S47-N04	2.68142670135094	P16S	47	1	4	20050123	20050122T00:00	-150.0005	-39	-999	262.428334514804	8.2571	34.4771	P16S_33RR200501	264.6	245.3	1.26	4.29	18.15	0	extracted 2/17/05 MM
P16S-S47-N08	P16S-S47-N08.trimmed	0.04623033	P16S-S47-N08	10.0110998301229	P16S	47	1	8	20050123	20050122T00:00	-150.0005	-39	-999	168.444981617798	9.3636	34.5259	P16S_33RR200501	169.8	240.4	1.04	2.7	14.46	0.01	extracted 2/17/05 MM
P16S-S47-N09	P16S-S47-N09.trimmed	0.14054209	P16S-S47-N09	18.7045939262368	P16S	47	1	9	20050123	20050122T00:00	-150.0005	-39	-999	69.0613368216716	12.3768	34.4292	P16S_33RR200501	69.6	259.2	0.37	0.53	2.56	0.07	extracted 2/17/05 MM
P16S-S47-N10	P16S-S47-N10.trimmed	0.07318292	P16S-S47-N10	21.1184752972032	P16S	47	1	10	20050123	20050122T00:00	-150.0005	-39	-999	54.6754794722653	12.7169	34.4445	P16S_33RR200501	55.1	272	0.32	0.33	1.85	0.05	extracted 2/17/05 MM
P16S-S47-N12	P16S-S47-N12.trimmed	0.03549101	P16S-S47-N12	20.4249324078633	P16S	47	1	12	20050123	20050122T00:00	-150.0005	-39	-999	19.1529644978905	18.0555	34.3796	P16S_33RR200501	19.3	239.7	0.23	0.15	0.41	0	extracted 2/17/05 MM
P16S-S47-N14	P16S-S47-N14.trimmed	0.04406084	P16S-S47-N14	3.5560578519147	P16S	47	1	14	20050123	20050122T00:00	-150.0005	-39	-999	89.9934349457698	11.9558	34.4426	P16S_33RR200501	90.7	238.4	0.42	0.52	3.1	0.11	extracted 2/17/05 MM
P16S-S47-N15	P16S-S47-N15.trimmed	0.04462601	P16S-S47-N15	5.62788361834718	P16S	47	1	15	20050123	20050122T00:00	-150.0005	-39	-999	221.588531207992	8.6641	34.5038	P16S_33RR200501	223.4	246.5	1.19	3.7	17.08	0	extracted 2/17/05 MM
P16S-S70-N26	P16S-S70-N26.trimmed	0.02495409	P16S-S70-N26	2.60723081654395	  P16S	70	2	26	20050130	20050130T00:00	-149.9997	-50.4993	-999	499.840002826705	7.5652	34.4307	  33RR20050109	504.8	247.7	1.4	6.34	19.87	0	extracted 2/17/05 MM
P16S-S70-N28	P16S-S70-N28.trimmed	0.02349207	P16S-S70-N28	4.44955236302261	  P16S	70	2	28	20050130	20050130T00:00	-149.9997	-50.4993	-999	400.028554562529	7.9978	34.477	  33RR20050109	403.9	244.6	1.33	5.55	18.86	0	extracted 2/17/05 MM
P16S-S70-N30	P16S-S70-N30.trimmed	0.03546932	P16S-S70-N30	4.64573131268177	  P16S	70	2	30	20050130	20050130T00:00	-149.9997	-50.4993	-999	301.25763671675	8.7651	34.5642	  33RR20050109	304.1	251.4	1.09	3.95	15.06	0.01	extracted 2/17/05 MM
P16S-S70-N32	P16S-S70-N32.trimmed	0.02598424	P16S-S70-N32	5.41912909499192	  P16S	70	2	32	20050130	20050130T00:00	-149.9997	-50.4993	-999	202.043076955412	9.1431	34.6005	  33RR20050109	203.9	268	0.89	2.56	11.81	0.01	extracted 2/17/05 MM
P16S-S70-N33	P16S-S70-N33.trimmed	0.05795	P16S-S70-N33	5.78885096165726	  P16S	70	2	33	20050130	20050130T00:00	-149.9997	-50.4993	-999	152.120611444537	9.206	34.6025	  33RR20050109	153.5	267.1	0.89	2.56	11.71	0.01	extracted 2/17/05 MM
P16S-S70-N34	P16S-S70-N34.trimmed	0.06990752	P16S-S70-N34	8.29139012718118	  P16S	70	2	34	20050130	20050130T00:00	-149.9997	-50.4993	-999	102.879603091995	9.4424	34.6052	  33RR20050109	103.8	264	0.89	2.57	11.65	0.02	extracted 2/17/05 MM
P16S-S70-N35	P16S-S70-N35.trimmed	0.03081215	P16S-S70-N35	21.1348235430082	  P16S	70	2	35	20050130	20050130T00:00	-149.9997	-50.4993	-999	53.0320760202766	11.0607	34.5459	  33RR20050109	53.5	269.9	0.69	0.77	7.72	0.23	extracted 2/17/05 MM
P16S-S70-N36	P16S-S70-N36.trimmed	0.06177295	P16S-S70-N36	23.6977254622734	  P16S	70	2	36	20050130	20050130T00:00	-149.9997	-50.4993	-999	5.35339457352944	11.0527	34.5445	  33RR20050109	5.4	268.8	0.69	0.78	7.77	0.23	extracted 2/17/05 MM
P16S-S76-N26	P16S-S76-N26.trimmed	0.27372923	P16S-S76-N26	3.12471567413846	  P16S	76	1	26	20050201	20050201T00:00	-149.99671	-53.4995	-999	452.53903000573	5.1078	34.2574	  33RR20050109	457.1	237.2	1.85	18.1	27	0	extracted 2/17/05 MM
P16S-S76-N28	P16S-S76-N28.trimmed	0.12795591	P16S-S76-N28	3.7327446623449	  P16S	76	1	28	20050201	20050201T00:00	-149.99671	-53.4995	-999	354.116713520117	5.0713	34.1689	  33RR20050109	357.6	274.9	1.68	11.69	24.52	0.01	extracted 2/17/05 MM
P16S-S76-N30	P16S-S76-N30.trimmed	0.09497888	P16S-S76-N30	3.58749678615495	  P16S	76	1	30	20050201	20050201T00:00	-149.99671	-53.4995	-999	256.142227938683	5.4219	34.1621	  33RR20050109	258.6	281.4	1.54	8.31	22.42	0.02	extracted 2/17/05 MM
P16S-S76-N32	P16S-S76-N32.trimmed	0.09402005	P16S-S76-N32	7.1250056668679	  P16S	76	1	32	20050201	20050201T00:00	-149.99671	-53.4995	-999	153.07012168836	6.0607	34.195	  33RR20050109	154.5	285.6	1.43	6.52	20.48	0.09	extracted 2/17/05 MM
P16S-S76-N33	P16S-S76-N33.trimmed	0.05880844	P16S-S76-N33	15.1092374065218	  P16S	76	1	33	20050201	20050201T00:00	-149.99671	-53.4995	-999	104.139763415154	6.212	34.1952	  33RR20050109	105.1	292.9	1.4	4.52	18.93	0.45	extracted 2/17/05 MM
P16S-S76-N34	P16S-S76-N34.trimmed	0.18472648	P16S-S76-N34	21.7893821538902	  P16S	76	1	34	20050201	20050201T00:00	-149.99671	-53.4995	-999	86.5061204659986	6.4603	34.1793	  33RR20050109	87.3	295.2	1.37	2.53	18.43	0.28	extracted 2/17/05 MM
P16S-S76-N35	P16S-S76-N35.trimmed	0.08299328	P16S-S76-N35	19.0741050271009	  P16S	76	1	35	20050201	20050201T00:00	-149.99671	-53.4995	-999	54.6031970841673	7.4574	34.0133	  33RR20050109	55.1	293.7	1.25	0.74	17.84	0.17	extracted 2/17/05 MM
P16S-S76-N36	P16S-S76-N36.trimmed	0.10502504	P16S-S76-N36	20.9903351101307	  P16S	76	1	36	20050201	20050201T00:00	-149.99671	-53.4995	-999	7.13591067133785	7.4408	34.0135	  33RR20050109	7.2	292.9	1.25	0.75	17.84	0.17	extracted 2/17/05 MM
P16S-S84-N20	P16S-S84-N20.trimmed	0.06172178	P16S-S84-N20	2.56233417975143	  P16S	84	1	20	20050203	20050203T00:00	-150.0013	-57.5007	-999	440.025294363068	2.2389	34.5881	  33RR20050109	444.6	169.4	2.34	75.05	34.13	0	extracted 2/17/05 MM
P16S-S84-N22	P16S-S84-N22.trimmed	0.0616617	P16S-S84-N22	4.95213448809087	  P16S	84	1	22	20050203	20050203T00:00	-150.0013	-57.5007	-999	340.048384489047	2.2783	34.5227	  33RR20050109	343.5	172.2	2.38	70.57	34.58	0	extracted 2/17/05 MM
P16S-S84-N24	P16S-S84-N24.trimmed	0.08349312	P16S-S84-N24	4.99736310511483	  P16S	84	1	24	20050203	20050203T00:00	-150.0013	-57.5007	-999	235.27263721163	2.1784	34.409	  33RR20050109	237.6	187.8	2.38	62.43	34.69	0	extracted 2/17/05 MM
P16S-S84-N26	P16S-S84-N26.trimmed	0.55839359	P16S-S84-N26	5.76292396091742	  P16S	84	1	26	20050203	20050203T00:00	-150.0013	-57.5007	-999	135.988081429347	-0.1642	34.0131	  33RR20050109	137.3	330.1	2.1	42.56	30.06	0.16	extracted 2/17/05 MM
P16S-S84-N27	P16S-S84-N27.trimmed	0.24500551	P16S-S84-N27	12.7899877676545	  P16S	84	1	27	20050203	20050203T00:00	-150.0013	-57.5007	-999	111.233690471518	-0.2513	33.9602	  33RR20050109	112.3	340.6	2.04	39.13	28.23	0.21	extracted 2/17/05 MM
P16S-S84-N28	P16S-S84-N28.trimmed	0.32590661	P16S-S84-N28	16.1382356808693	  P16S	84	1	28	20050203	20050203T00:00	-150.0013	-57.5007	-999	85.9811269532757	-0.3309	33.9216	  33RR20050109	86.8	345	2.03	35.29	27.99	0.18	extracted 2/17/05 MM
P16S-S84-N29	P16S-S84-N29.trimmed	0.04203022	P16S-S84-N29	19.6680631889008	  P16S	84	1	29	20050203	20050203T00:00	-150.0013	-57.5007	-999	71.1252216574624	0.2786	33.9103	  33RR20050109	71.8	344.4	1.98	29.65	27.01	0.21	extracted 2/17/05 MM
P16S-S84-N31	P16S-S84-N31.trimmed	0.08357852	P16S-S84-N31	23.2783710301662	  P16S	84	1	31	20050203	20050203T00:00	-150.0013	-57.5007	-999	4.55751144033435	3.0654	33.8603	  33RR20050109	4.6	326	1.69	19.19	25.33	0.28	extracted 2/17/05 MM
P16S-S90-N20	P16S-S90-N20.trimmed	0.07223758	P16S-S90-N20	2.20981701765293	  P16S	90	2	20	20050205	20050204T00:00	-150.0006	-60	-999	488.462348171245	1.1571	34.7279	  33RR20050109	493.7	182.1	2.26	111.36	33.08	0	extracted 2/17/05 MM
P16S-S90-N22	P16S-S90-N22.trimmed	0.08413562	P16S-S90-N22	2.70932718507929	  P16S	90	2	22	20050205	20050204T00:00	-150.0006	-60	-999	386.848677098035	1.2217	34.7293	  33RR20050109	390.9	178.9	2.28	109.48	33.34	0	extracted 2/17/05 MM
P16S-S90-N24	P16S-S90-N24.trimmed	0.05088784	P16S-S90-N24	2.88292525924478	  P16S	90	2	24	20050205	20050204T00:00	-150.0006	-60	-999	288.152356296274	1.282	34.728	  33RR20050109	291.1	175.2	2.3	107.18	33.66	0	extracted 2/17/05 MM
P16S-S90-N26	P16S-S90-N26.trimmed	0.05926143	P16S-S90-N26	4.13203324117116	  P16S	90	2	26	20050205	20050204T00:00	-150.0006	-60	-999	183.767467303601	0.6703	34.6085	  33RR20050109	185.6	234.4	2.27	93.73	33.15	0.01	extracted 2/17/05 MM
P16S-S90-N27	P16S-S90-N27.trimmed	0.07460332	P16S-S90-N27	6.28438331013482	  P16S	90	2	27	20050205	20050204T00:00	-150.0006	-60	-999	133.980408802416	-1.51	34.2919	  33RR20050109	135.3	337.1	2.03	66.05	28.68	0.24	extracted 2/17/05 MM
P16S-S90-N28	P16S-S90-N28.trimmed	0.12122631	P16S-S90-N28	11.3360207556784	  P16S	90	2	28	20050205	20050204T00:00	-150.0006	-60	-999	83.5871406703274	-1.0455	34.205	  33RR20050109	84.4	350.9	1.92	57.7	26.91	0.28	extracted 2/17/05 MM
P16S-S90-N29	P16S-S90-N29.trimmed	0.19580258	P16S-S90-N29	20.7615315181271	  P16S	90	2	29	20050205	20050204T00:00	-150.0006	-60	-999	39.6190208385314	1.6127	34.1035	  33RR20050109	40	335.5	1.71	46.66	24.68	0.35	extracted 2/17/05 MM
P16S-S90-N30	P16S-S90-N30.trimmed	0.13217431	P16S-S90-N30	21.6454849302571	  P16S	90	2	30	20050205	20050204T00:00	-150.0006	-60	-999	3.56602660702304	1.6092	34.1027	  33RR20050109	3.6	334.9	1.71	46.46	24.7	0.35	extracted 2/17/05 MM
P16S-S96-N18	P16S-S96-N18.trimmed	0.12497022	P16S-S96-N18	2.1093828827909	  P16S	96	3	18	20050207	20050206T00:00	-149.9972	-63.499	-999	473.510992852074	1.2015	34.7288	  33RR20050109	478.7	182.1	2.25	108.67	32.69	0	extracted 2/17/05 MM
