DNA_ID,CRUISE,STATION,TYPE,yyyy-mm-ddThh:mm,Longitude [degrees_east],Latitude [degrees_north],BOT DEPTH [METERS],CTDPRS [DBAR],CAST TYPE,CAST NO,NISKIN,DNA VOLUME FILT [mL],comments
I9N-S145-N08,I9N,145,B,20070413T00:00,93.4413,0.001,-999,105,TRACE METAL,1,8,,
I9N-S145-N10,I9N,145,B,20070413T00:00,93.4413,0.001,-999,65,TRACE METAL,1,10,,
I9N-S145-N12,I9N,145,B,20070413T00:00,93.4413,0.001,-999,20,TRACE METAL,1,12,,
I9N-S162-N01,I9N,162,B,20070417T00:00,89.6287,6.12,-999,940,TRACE METAL,1,1,,
I9N-S162-N03,I9N,162,B,20070417T00:00,89.6287,6.12,-999,420,TRACE METAL,1,3,,
I9N-S162-N06,I9N,162,B,20070417T00:00,89.6287,6.12,-999,170,TRACE METAL,1,6,,
I9N-S162-N08,I9N,162,B,20070417T00:00,89.6287,6.12,-999,117,TRACE METAL,1,8,,
I9N-S162-N10,I9N,162,B,20070417T00:00,89.6287,6.12,-999,70,TRACE METAL,1,10,,
I9N-S162-N12,I9N,162,B,20070417T00:00,89.6287,6.12,-999,20,TRACE METAL,1,12,,
I9N-S193-N01,I9N,193,B,20070426T00:00,89.8497,15,-999,940,TRACE METAL,1,1,,
I9N-S193-N03,I9N,193,B,20070426T00:00,89.8497,15,-999,420,TRACE METAL,1,3,,
I9N-S193-N06,I9N,193,B,20070426T00:00,89.8497,15,-999,169,TRACE METAL,1,6,,
I9N-S193-N08,I9N,193,B,20070426T00:00,89.8497,15,-999,120,TRACE METAL,1,8,,
I9N-S193-N10,I9N,193,B,20070426T00:00,89.8497,15,-999,70,TRACE METAL,1,10,,
I9N-S193-N12,I9N,193,B,20070426T00:00,89.8497,15,-999,20,TRACE METAL,1,12,,
I9N-S199-N01,I9N,199,B,20070427T00:00,89.8511,18.003,-999,940,TRACE METAL,1,1,,
I9N-S199-N03,I9N,199,B,20070427T00:00,89.8511,18.003,-999,420,TRACE METAL,1,3,,
I9N-S199-N06,I9N,199,B,20070427T00:00,89.8511,18.003,-999,170,TRACE METAL,1,6,,
I9N-S199-N08,I9N,199,B,20070427T00:00,89.8511,18.003,-999,119,TRACE METAL,1,8,,
I9N-S199-N10,I9N,199,B,20070427T00:00,89.8511,18.003,-999,70,TRACE METAL,1,10,,
I9N-S199-N12,I9N,199,B,20070427T00:00,89.8511,18.003,-999,17,TRACE METAL,1,12,,
