CTDPRS_DBAR,CTDPRS_FLAG_W,CTDTMP_ITS-90,CTDTMP_FLAG_W,CTDSAL_PSS-78,CTDSAL_FLAG_W,CTDOXY_UMOL_KG,CTDOXY_FLAG_W,CTDNOBS,CTDETIME,CTDCDOMFRAW_0-5VDC,CTDCDOMFRAW_FLAG_W,CTDBEAMCP_METER,CTDBEAMCP_FLAG_W,StationID
2416,2,1.9069,2,34.7567,2,199.5,2,36,7687.5,0.208,2,0,2,I8S-S45
2418,2,1.9073,2,34.7562,2,199.5,2,96,7690.3,0.212,2,0,2,I8S-S45
2420,2,1.9051,2,34.7565,2,199.6,2,60,7693.5,0.21,2,0,2,I8S-S45
2422,2,1.9019,2,34.7562,2,199.5,2,48,7695.8,0.203,2,0,2,I8S-S45
2424,2,1.8989,2,34.7564,2,199.5,2,36,7697.6,0.205,2,0,2,I8S-S45
2426,2,1.8981,2,34.7565,2,199.6,2,24,7698.8,0.208,2,0,2,I8S-S45
2428,2,1.8976,2,34.7564,2,199.6,2,24,7699.8,0.206,2,0,2,I8S-S45
2430,2,1.8967,2,34.7564,2,199.6,2,36,7701,0.21,2,0,2,I8S-S45
2432,2,1.8971,2,34.7561,2,199.5,2,72,7704.3,0.209,2,0,2,I8S-S45
2434,2,1.8959,2,34.7565,2,199.6,2,36,7707.5,0.209,2,0,2,I8S-S45
2436,2,1.8954,2,34.7564,2,199.6,2,36,7709,0.208,2,0,2,I8S-S45
2438,2,1.8949,2,34.7564,2,199.6,2,36,7710.5,0.209,2,0,2,I8S-S45
2440,2,1.8919,2,34.7562,2,199.7,2,36,7712,0.212,2,0,2,I8S-S45
2442,2,1.8899,2,34.7558,2,199.7,2,84,7714.5,0.207,2,0,2,I8S-S45
2444,2,1.8888,2,34.7564,2,199.6,2,36,7717,0.207,2,0,2,I8S-S45
2446,2,1.8892,2,34.7567,2,199.7,2,36,7718.5,0.211,2,0,2,I8S-S45
2448,2,1.8886,2,34.7565,2,199.7,2,24,7719.8,0.212,2,0,2,I8S-S45
2450,2,1.8858,2,34.7564,2,199.8,2,36,7721,0.204,2,0,2,I8S-S45
2452,2,1.8855,2,34.756,2,199.8,2,72,7723.3,0.211,2,0,2,I8S-S45
2454,2,1.8845,2,34.7563,2,199.9,2,36,7725.5,0.21,2,0,2,I8S-S45
2456,2,1.8827,2,34.7563,2,199.9,2,72,7728.5,0.209,2,0,2,I8S-S45
2458,2,1.8807,2,34.7565,2,199.9,2,24,7731.8,0.212,2,0,2,I8S-S45
2460,2,1.8766,2,34.7561,2,199.9,2,24,7732.8,0.214,2,0,2,I8S-S45
2462,2,1.872,2,34.7561,2,199.9,2,36,7734,0.207,2,0,2,I8S-S45
2464,2,1.8721,2,34.756,2,200,2,48,7735.8,0.208,2,0,2,I8S-S45
2466,2,1.8704,2,34.7562,2,200,2,36,7737.6,0.208,2,0,2,I8S-S45
2468,2,1.8662,2,34.7558,2,200.1,2,36,7739.1,0.211,2,0,2,I8S-S45
2470,2,1.8595,2,34.755,2,200.1,2,72,7741.3,0.21,2,0,2,I8S-S45
2472,2,1.8558,2,34.7549,2,200,2,36,7743.5,0.207,2,0,2,I8S-S45
2474,2,1.8559,2,34.7551,2,200.1,2,24,7744.8,0.21,2,0,2,I8S-S45
2476,2,1.8557,2,34.7549,2,200.1,2,72,7747.3,0.208,2,0,2,I8S-S45
2478,2,1.8534,2,34.7548,2,200.2,2,36,7752,0.208,2,0,2,I8S-S45
2480,2,1.8515,2,34.7548,2,200.1,2,36,7753.5,0.212,2,0,2,I8S-S45
2482,2,1.8509,2,34.755,2,200.1,2,24,7754.8,0.21,2,0,2,I8S-S45
2484,2,1.8504,2,34.7549,2,200.1,2,24,7755.8,0.209,2,0,2,I8S-S45
2486,2,1.8492,2,34.7549,2,200.2,2,24,7756.8,0.213,2,0,2,I8S-S45
2488,2,1.849,2,34.755,2,200.2,2,24,7757.8,0.213,2,0,2,I8S-S45
2490,2,1.8462,2,34.755,2,200.3,2,36,7759,0.206,2,0,2,I8S-S45
2492,2,1.8481,2,34.7548,2,200.3,2,144,7764.1,0.205,2,0,2,I8S-S45
2494,2,1.8485,2,34.755,2,200.2,2,48,7768.8,0.209,2,0,2,I8S-S45
2496,2,1.8414,2,34.7554,2,200.2,2,24,7770.3,0.204,2,0,2,I8S-S45
2498,2,1.8381,2,34.7555,2,200.2,2,24,7771.3,0.212,2,0,2,I8S-S45
2500,2,1.8346,2,34.7554,2,200.2,2,24,7772.3,0.211,2,0,2,I8S-S45
2502,2,1.8325,2,34.7554,2,200.2,2,24,7773.3,0.199,2,0,2,I8S-S45
2504,2,1.8327,2,34.7552,2,200.2,2,24,7774.3,0.199,2,0,2,I8S-S45
2506,2,1.8327,2,34.7549,2,200.3,2,24,7775.3,0.206,2,0,2,I8S-S45
2508,2,1.8319,2,34.7548,2,200.3,2,48,7776.8,0.206,2,0,2,I8S-S45
2510,2,1.833,2,34.7545,2,200.4,2,108,7782.1,0.209,2,0,2,I8S-S45
2512,2,1.8305,2,34.7547,2,200.4,2,35,7786,0.205,2,0,2,I8S-S45
2514,2,1.8263,2,34.7548,2,200.4,2,24,7787.3,0.206,2,0,2,I8S-S45
2516,2,1.8203,2,34.7544,2,200.4,2,24,7788.3,0.204,2,0,2,I8S-S45
2518,2,1.814,2,34.7544,2,200.5,2,24,7789.3,0.206,2,0,2,I8S-S45
2520,2,1.8126,2,34.7541,2,200.5,2,24,7790.3,0.21,2,0,2,I8S-S45
2522,2,1.8077,2,34.7537,2,200.6,2,36,7791.5,0.208,2,0,2,I8S-S45
2524,2,1.8056,2,34.7535,2,200.6,2,48,7793.3,0.209,2,0,2,I8S-S45
2526,2,1.802,2,34.7534,2,200.7,2,48,7795.3,0.206,2,0,2,I8S-S45
2528,2,1.8029,2,34.7531,2,200.7,2,84,7799.5,0.209,2,0,2,I8S-S45
2530,2,1.7967,2,34.7532,2,200.7,2,24,7803.8,0.211,2,0,2,I8S-S45
2532,2,1.7921,2,34.7533,2,200.7,2,36,7805.1,0.207,2,0,2,I8S-S45
