SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
P15S-2016-1501	P15S	1501	11/5/16	0:50	-60	-170	3880	3939	0.87	34.71	205.8	121.04	0	32.18	32.18		2.24		
P15S-2016-1510	P15S	1510	11/5/16	0:50	-60	-170	2085	3939	1.57	34.74	196.1	97.95	0	31.15	31.15		2.16		
P15S-2016-1518	P15S	1518	11/5/16	0:50	-60	-170	1035	3939	2.33	34.65	175.9	77.41	0	32.92	32.92		2.27		
P15S-2016-1523	P15S	1523	11/5/16	0:50	-60	-170	535	3939	2.47	34.4	193	58.63	0	34.43	34.43		2.37		
P15S-2016-1531	P15S	1531	11/5/16	15:21	-60	-170.02	132.6	3827	2.21	33.94	319.1	17.03	0.25	27.12	27.37		1.91		
P15S-2016-1534	P15S	1534	11/5/16	0:50	-60	-170	60	3939	2.26	33.92	320.1	15.82	0.27	26.87	27.14		1.9		
P15S-2016-1535	P15S	1535	11/5/16	0:50	-60	-170	35	3939	2.26	33.92	320.2	15.78	0.27	26.84	27.11		1.89		
P15S-2016-1536	P15S	1536	11/5/16	15:21	-60	-170.02	13.6	3827	2.26	33.92	320.2	15.77	0.27	26.82	27.09	0.55	1.9		
P15S-2016-2001	P15S	2001	13/5/16	19:11	-57.5	-170.01	5029.4	5037	0.97	34.7	208.3	123.39	0	32.31	32.31		2.24		
P15S-2016-2012	P15S	2012	13/5/16	19:11	-57.5	-170.01	2086.8	5037	1.76	34.74	193.1	92.85	0	31.19	31.19		2.15		
P15S-2016-201	P15S	201	4/5/16	8:50	-66.33	-170.01	3329	3295	0.33	34.69	216.5	126.01	0	32.71	32.71		2.29		
P15S-2016-2020	P15S	2020	13/5/16	19:11	-57.5	-170.01	1035.6	5037	2.45	34.6	172.9	73.3	0	33.82	33.82		2.33		
P15S-2016-2025	P15S	2025	13/5/16	19:11	-57.5	-170.01	537	5037	2.91	34.31	206.5	46.12	0	33.38	33.38		2.29		
P15S-2016-2032	P15S	2032	13/5/16	23:09	-57.51	-170.01	112.5	4988	3.61	33.91	312.8	8.21	0.24	24.3	24.54	0.79	1.73		
P15S-2016-2034	P15S	2034	13/5/16	19:11	-57.5	-170.01	60.5	5037	3.65	33.91	312.5	8	0.24	24.2	24.44		1.72		
P15S-2016-2035	P15S	2035	13/5/16	19:11	-57.5	-170.01	35	5037	3.64	33.91	312.5	8.02	0.24	24.19	24.43		1.72		
P15S-2016-2036	P15S	2036	13/5/16	23:09	-57.51	-170.01	14.2	4988	3.64	33.91	312.4	8.04	0.24	24.2	24.44	0.68	1.72		
P15S-2016-209	P15S	209	4/5/16	8:50	-66.33	-170.01	1935	3295	0.52	34.7	209	125.43	0.01	32.61	32.62		2.28		
P15S-2016-217	P15S	217	4/5/16	8:50	-66.33	-170.01	1065	3295	0.96	34.72	200.2	113.52	0.01	32.19	32.2		2.24		
P15S-2016-223	P15S	223	4/5/16	8:50	-66.33	-170.01	485	3295	1.36	34.73	191.5	99.28	0.01	31.98	31.99		2.22		
P15S-2016-231	P15S	231	4/5/16	11:40	-66.33	-170	115.8	3314	-1.37	34.1	278.7	72.56	0.11	30.72	30.83	0.64	2.14		
P15S-2016-234	P15S	234	4/5/16	8:50	-66.33	-170.01	40	3295	-1.49	34.07	345.8	63.75	0.22	28.15	28.37		1.98		
P15S-2016-235	P15S	235	4/5/16	8:50	-66.33	-170.01	20	3295	-1.5	34.07	345.4	63.74	0.22	28.18	28.4		1.98		
P15S-2016-236	P15S	236	4/5/16	11:40	-66.33	-170	5.8	3314	-1.5	34.07	345.6	63.77	0.22	28.18	28.4	0.51	1.98		
P15S-2016-2601	P15S	2601	15/5/16	20:02	-54.5	-170	4902	4839	0.95	34.7	208.6	123.15	0	32.14	32.14		2.24		
P15S-2016-2625	P15S	2625	15/5/16	20:02	-54.5	-170	535.3	4839	4.32	34.24	228.7	24.64	0	29.27	29.27		2		
P15S-2016-2632	P15S	2632	15/5/16	23:52	-54.5	-170	116.8	4840	6	34.12	296	4.93	0.24	19.78	20.02	0.48	1.43		
P15S-2016-2634	P15S	2634	15/5/16	20:02	-54.5	-170	60.3	4839	6.06	34.13	295.7	4.92	0.24	19.6	19.84		1.42		
P15S-2016-2635	P15S	2635	15/5/16	20:02	-54.5	-170	36.3	4839	6.06	34.13	295.7	4.93	0.24	19.61	19.85		1.42		
P15S-2016-2636	P15S	2636	15/5/16	23:52	-54.5	-170	8.8	4840	6.06	34.13	295.8	4.95	0.25	19.58	19.83	0.47	1.41		
P15S-2016-3120	P15S	3120	17/5/16	8:07	-52	-170.08	1001.8	4804	3.74	34.34	202.3	40.19	0	32.08	32.08		2.2		
P15S-2016-3130	P15S	3130	17/5/16	11:43	-52	-170.07	199.7	4794	7.6	34.4	264.2	5.23	0.01	18.8	18.81	0.05	1.31		
P15S-2016-3132	P15S	3132	17/5/16	8:07	-52	-170.08	99.7	4804	7.99	34.28	283.3	2.85	0.28	15.11	15.39		1.14		
P15S-2016-3134	P15S	3134	17/5/16	8:07	-52	-170.08	49.2	4804	8.05	34.28	282.9	2.77	0.28	14.91	15.19		1.13		
P15S-2016-3136	P15S	3136	17/5/16	11:43	-52	-170.07	5.2	4794	8.05	34.27	283.5	2.77	0.27	14.85	15.12	0.19	1.13		
P15S-2016-3434	P15S	3434	18/5/16	4:40	-50.5	-170	48.9	5056	9.41	34.33	276.2	1.73	0.29	11.88	12.17		0.96		
P15S-2016-3436	P15S	3436	18/5/16	8:22	-50.5	-170.02	6.3	5052	9.4	34.33	276.2	1.72	0.29	11.89	12.18	0.28	0.96		
P15S-2016-4201	P15S	4201	20/5/16	13:59	-46.72	-170.91	5386.3	5143	1.03	34.7	208.2	121.61	0	32.17	32.17		2.21		
P15S-2016-4213	P15S	4213	20/5/16	13:59	-46.72	-170.91	1937.5	5143	2.69	34.56	171.3	73.75	0	34.08	34.08		2.33		
P15S-2016-4220	P15S	4220	20/5/16	13:59	-46.72	-170.91	964.7	5143	6.18	34.36	219	15.95	0.01	26.25	26.26		1.76		
P15S-2016-4225	P15S	4225	20/5/16	13:59	-46.72	-170.91	464.2	5143	8.42	34.52	242.3	4.81	0.01	18.13	18.14		1.25		
P15S-2016-4231	P15S	4231	20/5/16	18:02	-46.71	-170.91	132.8	5144	10.91	34.71	251.3	1.7	0.12	8.93	9.05		0.73		
P15S-2016-4233	P15S	4233	20/5/16	13:59	-46.72	-170.91	64.2	5143	11.52	34.68	262.9	0.91	0.32	5.63	5.95		0.58		
P15S-2016-4234	P15S	4234	20/5/16	13:59	-46.72	-170.91	40.4	5143	11.51	34.68	262.9	0.91	0.31	5.64	5.95		0.58		
P15S-2016-4236	P15S	4236	20/5/16	18:02	-46.71	-170.91	11.1	5144	11.5	34.68	262.9	0.92	0.31	5.63	5.94	0.21	0.58		
P15S-2016-433	P15S	433	5/5/16	13:29	-65	-170.01	86.1	2841	-0.34	34.09	332.2	56.82	0.27	27.92	28.19		2.01		
P15S-2016-434	P15S	434	5/5/16	13:29	-65	-170.01	60.9	2841	-0.35	34.09	335.2	55.38	0.28	27.88	28.16		2.01		
P15S-2016-436	P15S	436	5/5/16	16:08	-65	-169.99	36.7	2835	-0.36	34.09	335.1	55.48	0.28	27.9	28.18	0.75	2.02		
P15S-2016-4617	P15S	4617	22/5/16	16:00	-44.52	-173.5	1001	3831	5.77	34.35	211.7	19.73	0	27.47	27.47		1.84		
P15S-2016-4622	P15S	4622	22/5/16	16:00	-44.52	-173.5	500.7	3831	8.18	34.49	242.9	5	0.01	18.88	18.89		1.28		
P15S-2016-4631	P15S	4631	22/5/16	19:36	-44.52	-173.5	101.1	3856	12.55	34.73	257.3	0.45	0.32	3.61	3.93		0.44		
P15S-2016-4632	P15S	4632	22/5/16	16:00	-44.52	-173.5	73.2	3831	12.64	34.74	257.6	0.38	0.31	3.22	3.53		0.42		
P15S-2016-4634	P15S	4634	22/5/16	16:00	-44.52	-173.5	25.7	3831	12.68	34.73	257.8	0.37	0.31	3.12	3.43		0.41		
P15S-2016-4636	P15S	4636	22/5/16	19:36	-44.52	-173.5	6.1	3856	12.64	34.71	257.7	0.37	0.31	3.08	3.39	0.59	0.41		
P15S-2016-5423	P15S	5423	29/5/16	12:44	-41.27	-173.65	565.5	3278	8.16	34.51	224.1	6.5	0	20.61	20.61		1.42		0.24
P15S-2016-5432	P15S	5432	29/5/16	12:44	-41.27	-173.65	89.1	3278	15.37	35.16	241.3	0.37	0.29	0.16	0.45		0.21		0.24
