DNA_ID,Cast_Type,Cruise,Station,Niskin,Latitude.degrees.North,Longitude.degrees.East,Date.yyyy.mm.dd,Pressure.decibars,Temperature.degrees.Celsius,Salinity.psu,Oxygen.umol.kg,Phosphate.umol.kg,Silicate.umol.kg,Nitrate.umol.kg,Nitrite.umol.kg,Photic.Zone,DNA.concentration.ng.uL,Depth.meters,Time.Trace.Metal.Cast,Time.Regular.Cast
P16S-S47-N14,Trace_Metal,P16S,S47,N14,-38.9997,-150,20050123,90.7,11.9558,34.4426,238.4,0.42,0.52,3.1,0.11,Euphotic,10.0110998301229,89.9934373822943,2005-01-23T07:38:00.00Z,TM Cast
P16S-S104-N21,Regular_Cast,P16S,S104,N21,-67.5007,-150,20050209,427.4,1.3501,34.7304,184,2.23,103.97,32.45,0,Aphotic,2.53572911091381,422.701393248976,Regular Cast,656
P16S-S104-N23,Regular_Cast,P16S,S104,N23,-67.5007,-150,20050209,326.6,1.4438,34.7282,182.3,2.23,100.04,32.5,0.01,Aphotic,1.70631608990092,323.088013284992,Regular Cast,656
P16S-S104-N25,Regular_Cast,P16S,S104,N25,-67.5007,-150,20050209,225.7,1.4358,34.7075,182,2.25,94.85,32.55,0.02,Aphotic,3.97173770142448,223.327402822339,Regular Cast,656
P16S-S104-N27,Regular_Cast,P16S,S104,N27,-67.5007,-150,20050209,124.9,-1.1325,34.1819,286.4,2.02,56.81,28.82,0.09,Aphotic,4.89825922369469,123.617160375599,Regular Cast,656
P16S-S104-N28,Regular_Cast,P16S,S104,N28,-67.5007,-150,20050209,94.8,-1.6891,34.0629,314.4,1.93,48.55,26.88,0.27,Euphotic,6.52116842278966,93.8331532618899,Regular Cast,656
P16S-S104-N29,Regular_Cast,P16S,S104,N29,-67.5007,-150,20050209,59.5,-1.4738,33.9424,324.4,1.9,46.92,25.46,0.18,Euphotic,14.5233080024256,58.8982073620204,Regular Cast,656
P16S-S104-N30,Regular_Cast,P16S,S104,N30,-67.5007,-150,20050209,39.4,-0.1649,33.556,351,1.38,32.91,20.5,0.14,Euphotic,25.5464531485735,39.0034019803514,Regular Cast,656
P16S-S104-N31,Regular_Cast,P16S,S104,N31,-67.5007,-150,20050209,2,-0.0973,33.5094,350.9,1.41,34.57,19.9,0.12,Euphotic,27.5937131956286,1.98004767616226,Regular Cast,656
P16S-S70-N26,Regular_Cast,P16S,S70,N26,-50.4993,-149.9997,20050130,504.8,7.5652,34.4307,249.3,1.4,6.34,19.87,0,Aphotic,2.60723081654395,499.840002826705,Regular Cast,1918
P16S-S70-N28,Regular_Cast,P16S,S70,N28,-50.4993,-149.9997,20050130,403.9,7.9978,34.477,244.5,1.33,5.55,18.86,0,Aphotic,4.44955236302261,400.028554562529,Regular Cast,1918
P16S-S70-N30,Regular_Cast,P16S,S70,N30,-50.4993,-149.9997,20050130,304.1,8.7651,34.5642,255.2,1.09,3.95,15.06,0.01,Aphotic,4.64573131268177,301.25763671675,Regular Cast,1918
P16S-S70-N32,Regular_Cast,P16S,S70,N32,-50.4993,-149.9997,20050130,203.9,9.1431,34.6005,268.9,0.89,2.56,11.81,0.01,Aphotic,5.41912909499192,202.043076955412,Regular Cast,1918
P16S-S70-N33,Regular_Cast,P16S,S70,N33,-50.4993,-149.9997,20050130,153.5,9.206,34.6025,268.2,0.89,2.56,11.71,0.01,Aphotic,5.78885096165726,152.120611444537,Regular Cast,1918
P16S-S70-N34,Regular_Cast,P16S,S70,N34,-50.4993,-149.9997,20050130,103.8,9.4424,34.6052,265.1,0.89,2.57,11.65,0.02,Aphotic,8.29139012718118,102.879603091995,Regular Cast,1918
P16S-S70-N35,Regular_Cast,P16S,S70,N35,-50.4993,-149.9997,20050130,53.5,11.0607,34.5459,269.2,0.69,0.77,7.72,0.23,Euphotic,21.1348235430082,53.0320760202766,Regular Cast,1918
P16S-S70-N36,Regular_Cast,P16S,S70,N36,-50.4993,-149.9997,20050130,5.4,11.0527,34.5445,269.6,0.69,0.78,7.77,0.23,Euphotic,23.6977254622734,5.35339457352944,Regular Cast,1918
P16S-S76-N26,Regular_Cast,P16S,S76,N26,-53.4995,-149.9967,20050201,457.1,5.1078,34.2574,235.5,1.85,18.1,27,0,Aphotic,3.12471567413846,452.53903000573,Regular Cast,1403
P16S-S76-N28,Regular_Cast,P16S,S76,N28,-53.4995,-149.9967,20050201,357.6,5.0713,34.1689,268,1.68,11.69,24.52,0.01,Aphotic,3.7327446623449,354.116713520117,Regular Cast,1403
P16S-S76-N30,Regular_Cast,P16S,S76,N30,-53.4995,-149.9967,20050201,258.6,5.4219,34.1621,284.9,1.54,8.31,22.42,0.02,Aphotic,3.58749678615495,256.142227938683,Regular Cast,1403
P16S-S76-N32,Regular_Cast,P16S,S76,N32,-53.4995,-149.9967,20050201,154.5,6.0607,34.195,286.7,1.43,6.52,20.48,0.09,Aphotic,7.1250056668679,153.07012168836,Regular Cast,1403
P16S-S76-N33,Regular_Cast,P16S,S76,N33,-53.4995,-149.9967,20050201,105.1,6.212,34.1952,292.8,1.4,4.52,18.93,0.45,Euphotic,15.1092374065218,104.139763415154,Regular Cast,1403
P16S-S76-N34,Regular_Cast,P16S,S76,N34,-53.4995,-149.9967,20050201,87.3,6.4603,34.1793,295.7,1.37,2.53,18.43,0.28,Euphotic,21.7893821538902,86.5061204659986,Regular Cast,1403
P16S-S76-N35,Regular_Cast,P16S,S76,N35,-53.4995,-149.9967,20050201,55.1,7.4574,34.0133,294.2,1.25,0.74,17.84,0.17,Euphotic,19.0741050271009,54.6031970841673,Regular Cast,1403
P16S-S76-N36,Regular_Cast,P16S,S76,N36,-53.4995,-149.9967,20050201,7.2,7.4408,34.0135,294,1.25,0.75,17.84,0.17,Euphotic,20.9903351101307,7.13591067133785,Regular Cast,1403
P16S-S84-N19,Regular_Cast,P16S,S84,N19,-57.5007,-150.0013,20050203,495.4,2.2328,34.6085,170.5,2.32,76.07,33.8,0,Aphotic,2.56233417975143,490.242657703661,Regular Cast,1559
P16S-S84-N21,Regular_Cast,P16S,S84,N21,-57.5007,-150.0013,20050203,394.3,2.2895,34.559,171.2,2.36,72.61,34.24,0,Aphotic,4.95213448809087,390.290132851407,Regular Cast,1559
P16S-S84-N23,Regular_Cast,P16S,S84,N23,-57.5007,-150.0013,20050203,293.9,2.2787,34.4775,176.8,2.39,67.73,34.79,0,Aphotic,4.99736310511483,290.981600830246,Regular Cast,1559
P16S-S84-N25,Regular_Cast,P16S,S84,N25,-57.5007,-150.0013,20050203,187.4,1.7524,34.2915,218.4,2.32,53.7,33.83,0.01,Aphotic,5.76292396091742,185.586876853525,Regular Cast,1559
P16S-S84-N26,Regular_Cast,P16S,S84,N26,-57.5007,-150.0013,20050203,137.3,-0.1642,34.0131,319.6,2.1,42.56,30.06,0.16,Euphotic,12.7899877676545,135.988081429347,Regular Cast,1559
P16S-S84-N28,Regular_Cast,P16S,S84,N28,-57.5007,-150.0013,20050203,86.8,-0.3309,33.9216,344.8,2.03,35.29,27.99,0.18,Euphotic,16.1382356808693,85.9811269532757,Regular Cast,1559
P16S-S84-N29,Regular_Cast,P16S,S84,N29,-57.5007,-150.0013,20050203,71.8,0.2786,33.9103,344.2,1.98,29.65,27.01,0.21,Euphotic,19.6680631889008,71.1252216574623,Regular Cast,1559
P16S-S84-N31,Regular_Cast,P16S,S84,N31,-57.5007,-150.0013,20050203,4.6,3.0654,33.8603,327.5,1.69,19.19,25.33,0.28,Euphotic,23.2783710301662,4.55751144033435,Regular Cast,1559
P16S-S90-N20,Regular_Cast,P16S,S90,N20,-60.5003,-150.0007,20050205,493.7,1.1571,34.7279,183.3,2.26,111.36,33.08,0,Aphotic,2.20981701765293,488.44289716841,Regular Cast,850
P16S-S90-N22,Regular_Cast,P16S,S90,N22,-60.5003,-150.0007,20050205,390.9,1.2217,34.7293,179.1,2.28,109.48,33.34,0,Aphotic,2.70932718507929,386.833272265377,Regular Cast,850
P16S-S90-N24,Regular_Cast,P16S,S90,N24,-60.5003,-150.0007,20050205,291.1,1.282,34.728,175.6,2.3,107.18,33.66,0,Aphotic,2.88292525924478,288.140881556008,Regular Cast,850
P16S-S90-N26,Regular_Cast,P16S,S90,N26,-60.5003,-150.0007,20050205,185.6,0.6703,34.6085,205.9,2.27,93.73,33.15,0.01,Aphotic,4.13203324117116,183.760149269756,Regular Cast,850
P16S-S90-N27,Regular_Cast,P16S,S90,N27,-60.5003,-150.0007,20050205,135.3,-1.51,34.2919,338.3,2.03,66.05,28.68,0.24,Euphotic,6.28438331013482,133.975073371368,Regular Cast,850
P16S-S90-N28,Regular_Cast,P16S,S90,N28,-60.5003,-150.0007,20050205,84.4,-1.0455,34.205,352.6,1.92,57.7,26.91,0.28,Euphotic,11.3360207556784,83.5838120049362,Regular Cast,850
P16S-S90-N29,Regular_Cast,P16S,S90,N29,-60.5003,-150.0007,20050205,40,1.6127,34.1035,336.4,1.71,46.66,24.68,0.35,Euphotic,20.7615315181271,39.6174430944717,Regular Cast,850
P16S-S90-N30,Regular_Cast,P16S,S90,N30,-60.5003,-150.0007,20050205,3.6,1.6092,34.1027,336.3,1.71,46.46,24.7,0.35,Euphotic,21.6454849302571,3.5658845969493,Regular Cast,850
P16S-S96-N18,Regular_Cast,P16S,S96,N18,-63.499,-149.997,20050207,478.7,1.2015,34.7288,183.2,2.25,108.67,32.69,0,Aphotic,2.1093828827909,473.510992852074,Regular Cast,118
P16S-S96-N20,Regular_Cast,P16S,S96,N20,-63.499,-149.997,20050207,291.9,1.3469,34.7298,178.3,2.27,104.13,32.95,0.01,Aphotic,3.26936388411125,288.865865463828,Regular Cast,118
P16S-S96-N23,Regular_Cast,P16S,S96,N23,-63.499,-149.997,20050207,166.1,1.02,34.6521,189.5,2.3,93.57,33.16,0.02,Aphotic,4.62688752155094,164.423454666742,Regular Cast,118
P16S-S96-N24,Regular_Cast,P16S,S96,N24,-63.499,-149.997,20050207,135.9,-0.9015,34.3594,286.6,2.07,68.53,29.84,0.23,Aphotic,4.26372833191739,134.53811088408,Regular Cast,118
P16S-S96-N25,Regular_Cast,P16S,S96,N25,-63.499,-149.997,20050207,90.6,-1.6978,34.1713,333.8,1.92,54.51,26.93,0.25,Aphotic,4.45262432066451,89.7019109656776,Regular Cast,118
P16S-S96-N26,Regular_Cast,P16S,S96,N26,-63.499,-149.997,20050207,65.3,-1.548,34.0837,338,1.9,48.96,26.18,0.25,Euphotic,7.74433646259936,64.656664351439,Regular Cast,118
P16S-S96-N27,Regular_Cast,P16S,S96,N27,-63.499,-149.997,20050207,40,0.8649,33.9757,346.9,1.43,29.68,22.78,0.36,Euphotic,28.0160686634259,39.6083484404036,Regular Cast,118
P16S-S96-N28,Regular_Cast,P16S,S96,N28,-63.499,-149.997,20050207,2.3,1.0368,33.9761,-999,1.42,29.69,22.78,0.36,Euphotic,20.819397542849,2.27768823916374,Regular Cast,118
