EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,TU,,TU,NMOL/KG,,NMOL/KG,PERCNT,,PERCNT,NMOL/KG,,NMOL/KG,/MILLE,,/MILLE,/MILLE,,1/M,,1/M,,1/M,,1/M,,1/NM,,1/NM,
  33RR20070204,  I08S,     1,  1,      7,      7,2,20070215,1442,-65.8108,  84.5502,  450,    303.3,  -1.5746,  34.3998,2,  34.4025,2,    310.6,2,    310.8,2,    67.61,2,    30.36,2,     0.04,2,     2.09,2,    5.190,2,    2.811,2, -999.000,5,   2218.4,2,   2320.8,2,     43.8,2,    33.44,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,   0.1111,2,   0.0760,2,   0.0440,2,   0.0323,2,   0.0138,2,   0.0147,3
  33RR20070204,  I08S,     1,  1,      5,      5,2,20070215,1442,-65.8108,  84.5502,  450,    353.6,  -1.6526,  34.4093,2,  34.4137,2,    314.7,2,    315.3,2,    67.20,2,    30.33,2,     0.03,2,     2.09,2,    5.222,2,    2.744,2, -999.000,5,   2218.9,2,   2321.7,2,     43.8,2,    33.71,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
  33RR20070204,  I08S,     1,  1,      6,      6,2,20070215,1442,-65.8108,  84.5502,  450,    353.7,  -1.6531,  34.4094,2,-999.0000,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,     43.8,2,    33.48,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,   0.1041,2,   0.0715,2,   0.0442,2,   0.0338,2,   0.0133,3,   0.0136,3
  33RR20070204,  I08S,     1,  1,      3,      3,2,20070215,1442,-65.8108,  84.5502,  450,    403.8,  -1.6185,  34.4151,2,  34.4171,2,    313.8,2,    314.3,2,    67.40,2,    30.32,2,     0.03,2,     2.09,2,    5.289,2,    2.809,2, -999.000,5,   2218.1,2,   2321.9,2,     43.8,2,    34.04,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
  33RR20070204,  I08S,     1,  1,      4,      4,2,20070215,1442,-65.8108,  84.5502,  450,    403.9,  -1.6183,  34.4151,2,-999.0000,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,     43.8,2,    33.97,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,   0.1454,2,   0.1038,2,   0.0568,2,   0.0399,2,   0.0150,2,   0.0155,2
  33RR20070204,  I08S,     1,  1,      1,      1,2,20070215,1442,-65.8108,  84.5502,  450,    439.0,  -1.6112,  34.4165,2,  34.4200,2,    311.5,2,    314.0,2,    67.40,2,    30.38,2,     0.03,2,     2.09,2,    5.250,2,    2.818,2, -999.000,5,   2218.9,2,   2323.0,2,     42.5,2,    33.53,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
  33RR20070204,  I08S,     1,  1,      2,      2,2,20070215,1442,-65.8108,  84.5502,  450,    439.1,  -1.6099,  34.4167,2,-999.0000,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    5.254,2,    2.803,2, -999.000,5,   2222.4,2,   2322.5,2,     42.5,2,    34.42,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,   0.1028,2,   0.0694,2,   0.0420,2,   0.0307,2,   0.0138,2,   0.0145,3
  33RR20070204,  I08S,     2,  1,     21,     21,2,20070215,1739,-65.7682,  84.5278, 1241,      2.9,  -1.3512,  33.3786,2,  33.3635,2,   -999.0,9,   -999.0,9,    53.06,2,    22.32,2,     0.10,2,     1.59,2,    5.980,2,    3.271,2, -999.000,5,   2114.4,2,   2259.2,2,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
  33RR20070204,  I08S,     2,  1,     20,     20,2,20070215,1739,-65.7682,  84.5278, 1241,     39.0,  -0.5873,  33.9127,2,  33.9179,2,    350.3,2,    350.6,2,    56.62,2,    23.60,2,     0.09,2,     1.67,2,    5.848,2,    3.208,2, -999.000,5,   2151.1,2,   2295.6,2,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
  33RR20070204,  I08S,     2,  1,     19,     19,2,20070215,1739,-65.7682,  84.5278, 1241,     73.8,  -1.6872,  34.2052,2,  34.2111,2,    317.3,2,    315.5,2,    63.21,2,    28.99,2,     0.09,2,     2.06,2,    5.225,2,    2.816,2, -999.000,5,   2202.9,2,   2308.6,2,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
