"Original_DNA_ID","Cast_Type","Corrected_DNA_ID","Cruise","Station","Niskin","Latitude","Longitude","Pressure","Temperature","Salinity","Oxygen","Phosphate","Silicate","Nitrate","Nitrite","DNA.concentration.ng.uL","Photic.Zone"
"P16S-S47-N14","Trace_Metal","P16S-S47-N08","P16S","S47","N08",-38.9997,-150,169.8,9.3636,34.5259,240.4,1.04,2.7,14.46,0.01,3.5560578519147,"Euphotic"
"P16S-S47-N09","Trace_Metal","P16S-S47-N09","P16S","S47","N09",-38.9997,-150,69.6,12.3768,34.4292,259.2,0.37,0.53,2.56,0.07,18.7045939262368,"Euphotic"
"P16S-S47-N10","Trace_Metal","P16S-S47-N10","P16S","S47","N10",-38.9997,-150,55.1,12.7169,34.4445,272,0.32,0.33,1.85,0.05,21.1184752972032,"Euphotic"
"P16S-S47-N12","Trace_Metal","P16S-S47-N12","P16S","S47","N12",-38.9997,-150,19.3,18.0555,34.3796,239.7,0.23,0.15,0.41,0,20.4249324078633,"Euphotic"
"P16S-S47-N08","Trace_Metal","P16S-S47-N14","P16S","S47","N14",-38.9997,-150,90.7,11.9558,34.4426,238.4,0.42,0.52,3.1,0.11,10.0110998301229,"Euphotic"
"P16S-S104-N21","Regular_Cast","P16S-S104-N21","P16S","S104","N21",-67.5007,-150,427.4,1.3501,34.7304,184,2.23,103.97,32.45,0,2.53572911091381,"Aphotic"
"P16S-S104-N23","Regular_Cast","P16S-S104-N23","P16S","S104","N23",-67.5007,-150,326.6,1.4438,34.7282,182.3,2.23,100.04,32.5,0.01,1.70631608990092,"Aphotic"
"P16S-S104-N25","Regular_Cast","P16S-S104-N25","P16S","S104","N25",-67.5007,-150,225.7,1.4358,34.7075,182,2.25,94.85,32.55,0.02,3.97173770142448,"Aphotic"
"P16S-S104-N27","Regular_Cast","P16S-S104-N27","P16S","S104","N27",-67.5007,-150,124.9,-1.1325,34.1819,286.4,2.02,56.81,28.82,0.09,4.89825922369469,"Aphotic"
"P16S-S104-N28","Regular_Cast","P16S-S104-N28","P16S","S104","N28",-67.5007,-150,94.8,-1.6891,34.0629,314.4,1.93,48.55,26.88,0.27,6.52116842278966,"Euphotic"
"P16S-S104-N29","Regular_Cast","P16S-S104-N29","P16S","S104","N29",-67.5007,-150,59.5,-1.4738,33.9424,324.4,1.9,46.92,25.46,0.18,14.5233080024256,"Euphotic"
"P16S-S104-N30","Regular_Cast","P16S-S104-N30","P16S","S104","N30",-67.5007,-150,39.4,-0.1649,33.556,351,1.38,32.91,20.5,0.14,25.5464531485735,"Euphotic"
"P16S-S104-N31","Regular_Cast","P16S-S104-N31","P16S","S104","N31",-67.5007,-150,2,-0.0973,33.5094,350.9,1.41,34.57,19.9,0.12,27.5937131956286,"Euphotic"
"P16S-S70-N26","Regular_Cast","P16S-S70-N26","P16S","S70","N26",-50.4993,-149.9997,504.8,7.5652,34.4307,249.3,1.4,6.34,19.87,0,2.60723081654395,"Aphotic"
"P16S-S70-N28","Regular_Cast","P16S-S70-N28","P16S","S70","N28",-50.4993,-149.9997,403.9,7.9978,34.477,244.5,1.33,5.55,18.86,0,4.44955236302261,"Aphotic"
"P16S-S70-N30","Regular_Cast","P16S-S70-N30","P16S","S70","N30",-50.4993,-149.9997,304.1,8.7651,34.5642,255.2,1.09,3.95,15.06,0.01,4.64573131268177,"Aphotic"
"P16S-S70-N32","Regular_Cast","P16S-S70-N32","P16S","S70","N32",-50.4993,-149.9997,203.9,9.1431,34.6005,268.9,0.89,2.56,11.81,0.01,5.41912909499192,"Aphotic"
"P16S-S70-N33","Regular_Cast","P16S-S70-N33","P16S","S70","N33",-50.4993,-149.9997,153.5,9.206,34.6025,268.2,0.89,2.56,11.71,0.01,5.78885096165726,"Aphotic"
"P16S-S70-N34","Regular_Cast","P16S-S70-N34","P16S","S70","N34",-50.4993,-149.9997,103.8,9.4424,34.6052,265.1,0.89,2.57,11.65,0.02,8.29139012718118,"Aphotic"
"P16S-S70-N35","Regular_Cast","P16S-S70-N35","P16S","S70","N35",-50.4993,-149.9997,53.5,11.0607,34.5459,269.2,0.69,0.77,7.72,0.23,21.1348235430082,"Euphotic"
"P16S-S70-N36","Regular_Cast","P16S-S70-N36","P16S","S70","N36",-50.4993,-149.9997,5.4,11.0527,34.5445,269.6,0.69,0.78,7.77,0.23,23.6977254622734,"Euphotic"
"P16S-S76-N26","Regular_Cast","P16S-S76-N26","P16S","S76","N26",-53.4995,-149.9967,457.1,5.1078,34.2574,235.5,1.85,18.1,27,0,3.12471567413846,"Aphotic"
"P16S-S76-N28","Regular_Cast","P16S-S76-N28","P16S","S76","N28",-53.4995,-149.9967,357.6,5.0713,34.1689,268,1.68,11.69,24.52,0.01,3.7327446623449,"Aphotic"
"P16S-S76-N30","Regular_Cast","P16S-S76-N30","P16S","S76","N30",-53.4995,-149.9967,258.6,5.4219,34.1621,284.9,1.54,8.31,22.42,0.02,3.58749678615495,"Aphotic"
"P16S-S76-N32","Regular_Cast","P16S-S76-N32","P16S","S76","N32",-53.4995,-149.9967,154.5,6.0607,34.195,286.7,1.43,6.52,20.48,0.09,7.1250056668679,"Aphotic"
"P16S-S76-N33","Regular_Cast","P16S-S76-N33","P16S","S76","N33",-53.4995,-149.9967,105.1,6.212,34.1952,292.8,1.4,4.52,18.93,0.45,15.1092374065218,"Euphotic"
"P16S-S76-N34","Regular_Cast","P16S-S76-N34","P16S","S76","N34",-53.4995,-149.9967,87.3,6.4603,34.1793,295.7,1.37,2.53,18.43,0.28,21.7893821538902,"Euphotic"
"P16S-S76-N35","Regular_Cast","P16S-S76-N35","P16S","S76","N35",-53.4995,-149.9967,55.1,7.4574,34.0133,294.2,1.25,0.74,17.84,0.17,19.0741050271009,"Euphotic"
"P16S-S76-N36","Regular_Cast","P16S-S76-N36","P16S","S76","N36",-53.4995,-149.9967,7.2,7.4408,34.0135,294,1.25,0.75,17.84,0.17,20.9903351101307,"Euphotic"
"P16S-S84-N20","Regular_Cast","P16S-S84-N19","P16S","S84","N19",-57.5007,-150.0013,495.4,2.2328,34.6085,170.5,2.32,76.07,33.8,0,2.56233417975143,"Aphotic"
"P16S-S84-N22","Regular_Cast","P16S-S84-N21","P16S","S84","N21",-57.5007,-150.0013,394.3,2.2895,34.559,171.2,2.36,72.61,34.24,0,4.95213448809087,"Aphotic"
"P16S-S84-N24","Regular_Cast","P16S-S84-N23","P16S","S84","N23",-57.5007,-150.0013,293.9,2.2787,34.4775,176.8,2.39,67.73,34.79,0,4.99736310511483,"Aphotic"
"P16S-S84-N26","Regular_Cast","P16S-S84-N25","P16S","S84","N25",-57.5007,-150.0013,187.4,1.7524,34.2915,218.4,2.32,53.7,33.83,0.01,5.76292396091742,"Aphotic"
"P16S-S84-N27","Regular_Cast","P16S-S84-N26","P16S","S84","N26",-57.5007,-150.0013,137.3,-0.1642,34.0131,319.6,2.1,42.56,30.06,0.16,12.7899877676545,"Euphotic"
"P16S-S84-N28","Regular_Cast","P16S-S84-N28","P16S","S84","N28",-57.5007,-150.0013,86.8,-0.3309,33.9216,344.8,2.03,35.29,27.99,0.18,16.1382356808693,"Euphotic"
"P16S-S84-N29","Regular_Cast","P16S-S84-N29","P16S","S84","N29",-57.5007,-150.0013,71.8,0.2786,33.9103,344.2,1.98,29.65,27.01,0.21,19.6680631889008,"Euphotic"
"P16S-S84-N31","Regular_Cast","P16S-S84-N31","P16S","S84","N31",-57.5007,-150.0013,4.6,3.0654,33.8603,327.5,1.69,19.19,25.33,0.28,23.2783710301662,"Euphotic"
"P16S-S90-N20","Regular_Cast","P16S-S90-N20","P16S","S90","N20",-60.5003,-150.0007,493.7,1.1571,34.7279,183.3,2.26,111.36,33.08,0,2.20981701765293,"Aphotic"
"P16S-S90-N22","Regular_Cast","P16S-S90-N22","P16S","S90","N22",-60.5003,-150.0007,390.9,1.2217,34.7293,179.1,2.28,109.48,33.34,0,2.70932718507929,"Aphotic"
"P16S-S90-N24","Regular_Cast","P16S-S90-N24","P16S","S90","N24",-60.5003,-150.0007,291.1,1.282,34.728,175.6,2.3,107.18,33.66,0,2.88292525924478,"Aphotic"
"P16S-S90-N26","Regular_Cast","P16S-S90-N26","P16S","S90","N26",-60.5003,-150.0007,185.6,0.6703,34.6085,205.9,2.27,93.73,33.15,0.01,4.13203324117116,"Aphotic"
"P16S-S90-N27","Regular_Cast","P16S-S90-N27","P16S","S90","N27",-60.5003,-150.0007,135.3,-1.51,34.2919,338.3,2.03,66.05,28.68,0.24,6.28438331013482,"Euphotic"
"P16S-S90-N28","Regular_Cast","P16S-S90-N28","P16S","S90","N28",-60.5003,-150.0007,84.4,-1.0455,34.205,352.6,1.92,57.7,26.91,0.28,11.3360207556784,"Euphotic"
"P16S-S90-N29","Regular_Cast","P16S-S90-N29","P16S","S90","N29",-60.5003,-150.0007,40,1.6127,34.1035,336.4,1.71,46.66,24.68,0.35,20.7615315181271,"Euphotic"
"P16S-S90-N30","Regular_Cast","P16S-S90-N30","P16S","S90","N30",-60.5003,-150.0007,3.6,1.6092,34.1027,336.3,1.71,46.46,24.7,0.35,21.6454849302571,"Euphotic"
"P16S-S96-N18","Regular_Cast","P16S-S96-N18","P16S","S96","N18",-63.499,-149.997,478.7,1.2015,34.7288,183.2,2.25,108.67,32.69,0,2.1093828827909,"Aphotic"
"P16S-S96-N20","Regular_Cast","P16S-S96-N20","P16S","S96","N20",-63.499,-149.997,291.9,1.3469,34.7298,178.3,2.27,104.13,32.95,0.01,3.26936388411125,"Aphotic"
"P16S-S96-N23","Regular_Cast","P16S-S96-N23","P16S","S96","N23",-63.499,-149.997,166.1,1.02,34.6521,189.5,2.3,93.57,33.16,0.02,4.62688752155094,"Aphotic"
"P16S-S96-N24","Regular_Cast","P16S-S96-N24","P16S","S96","N24",-63.499,-149.997,135.9,-0.9015,34.3594,286.6,2.07,68.53,29.84,0.23,4.26372833191739,"Aphotic"
"P16S-S96-N25","Regular_Cast","P16S-S96-N25","P16S","S96","N25",-63.499,-149.997,90.6,-1.6978,34.1713,333.8,1.92,54.51,26.93,0.25,4.45262432066451,"Aphotic"
"P16S-S96-N26","Regular_Cast","P16S-S96-N26","P16S","S96","N26",-63.499,-149.997,65.3,-1.548,34.0837,338,1.9,48.96,26.18,0.25,7.74433646259936,"Euphotic"
"P16S-S96-N27","Regular_Cast","P16S-S96-N27","P16S","S96","N27",-63.499,-149.997,40,0.8649,33.9757,346.9,1.43,29.68,22.78,0.36,28.0160686634259,"Euphotic"
"P16S-S96-N28","Regular_Cast","P16S-S96-N28","P16S","S96","N28",-63.499,-149.997,2.3,1.0368,33.9761,-999,1.42,29.69,22.78,0.36,20.819397542849,"Euphotic"
