EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOM443,CDOM443_FLAG_W,CDOM490,CDOM490_FLAG_W,CDOM555,CDOM555_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,THETA,SBE35,SBE35_FLAG_W
,,,,,,,,,,,METERS,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UMOL/KG,,UMOL/KG,,TU,,TU,NMOL/KG,,NMOL/KG,PERCNT,,PERCNT,NMOL/KG,,NMOL/KG,/MILLE,,/MILLE,/MILLE,,1/M,,1/M,,1/M,,1/M,,1/M,,1/M,,1/M,,1/NM,,1/NM,,DEG C,ITS-90,
  33RR20070322,  I09N,    89,  3,     25,     25,2,20070326,1006,-28.3133,  95.0145, 3088, 355.0000,    355.0,  11.4484,  35.0211,2,  35.0226,2,    237.9,2,    238.8,2,     3.15,2,    10.47,2,     0.01,2,     0.78,2,    3.372,2,    1.932,2, -999.000,5,   2117.5,2,   2305.6,2,   7.8246,2,    25.00,     47.3,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,     58.6,2,      3.3,     1.18,2,   0.0733,2,   0.0496,2,   0.0261,2,   0.0202,2,  -0.0006,4,  -0.0041,4,  -0.0040,4,   0.0139,2,   0.0163,3,  11.4032,  11.4326,2
  33RR20070322,  I09N,    89,  3,     24,     24,2,20070326,1006,-28.3133,  95.0145, 3088, 402.7000,    402.7,  10.9134,  34.9355,2,  34.9394,2,    239.9,2,    240.2,2,     3.55,2,    11.66,2,     0.01,2,     0.86,2,    3.497,2,    1.975,2, -999.000,5,   2118.4,2,   2302.5,2,   7.8157,2,    25.00,     46.5,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,     54.5,2,      3.7,     1.20,2,   0.0748,2,   0.0498,2,   0.0259,2,   0.0203,2,  -0.0002,4,  -0.0038,4,  -0.0038,4,   0.0138,3,   0.0165,3,  10.8636,  10.9077,2
  33RR20070322,  I09N,    89,  3,     23,     23,2,20070326,1006,-28.3133,  95.0145, 3088, 455.5000,    455.5,  10.4304,  34.8582,2,  34.8618,2,    240.5,2,    241.4,2,     3.95,2,    13.06,2,     0.00,2,     0.95,2,    3.536,2,    1.980,2, -999.000,5,   2120.2,2,   2300.2,2,   7.8092,2,    25.00,     45.6,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,     57.1,2,      3.6,     1.22,2,   0.0700,2,   0.0464,2,   0.0245,2,   0.0189,2,  -0.0010,4,  -0.0043,4,  -0.0042,4,   0.0138,2,   0.0165,3,  10.3755,  10.4277,2
  33RR20070322,  I09N,    89,  3,     22,     22,2,20070326,1006,-28.3133,  95.0145, 3088, 505.4000,    505.4,  10.1296,  34.8109,2,  34.8128,2,    240.9,2,    241.4,2,     4.14,2,    13.85,2,     0.00,2,     1.00,2,    3.525,2,    2.019,2, -999.000,5,   2120.6,2,   2296.6,2,   7.7988,2,    25.00,     44.8,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,     67.4,2,      3.4,     1.24,2,   0.0692,2,   0.0460,2,   0.0245,2,   0.0188,2,  -0.0009,4,  -0.0043,4,  -0.0042,4,   0.0137,2,   0.0164,3,  10.0697,  10.1297,2
  33RR20070322,  I09N,    89,  3,     21,     21,2,20070326,1006,-28.3133,  95.0145, 3088, 605.4000,    605.4,   9.2642,  34.6838,2,  34.6862,2,    236.3,2,    234.8,2,     5.55,2,    16.80,2,     0.00,2,     1.16,2,    3.516,2,    1.877,2, -999.000,5,   2129.1,2,   2291.4,2,   7.7713,2,    25.00,     44.0,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,     49.6,2,      3.8,     1.24,2,   0.0728,2,   0.0482,2,   0.0254,2,   0.0195,2,  -0.0004,4,  -0.0041,4,  -0.0041,4,   0.0138,2,   0.0166,3,   9.1960,   9.2600,2
  33RR20070322,  I09N,    89,  3,     20,     20,2,20070326,1006,-28.3133,  95.0145, 3088, 705.7000,    705.7,   8.2988,  34.5750,2,-999.0000,9,    224.6,2,    219.8,2,     9.17,2,    20.43,2,     0.00,2,     1.46,2,    2.977,2,    1.536,2, -999.000,5,   2143.2,2,   2288.9,2,   7.7256,2,    25.00,     43.3,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,     34.4,2,      3.3,     1.19,2,   0.0877,2,   0.0597,2,   0.0356,2,   0.0284,2,   0.0049,2,  -0.0014,4,  -0.0028,4,   0.0129,3,   0.0138,3,   8.2239,   8.2972,2
  33RR20070322,  I09N,    89,  3,     19,     19,2,20070326,1006,-28.3133,  95.0145, 3088, 806.1000,    806.1,   6.5887,  34.4513,2,  34.4532,2,    203.2,2,    198.9,2,    19.59,2,    26.24,2,     0.00,2,     1.80,2,    1.859,2,    0.994,2, -999.000,5,   2171.0,2,   2290.2,2,   7.6654,2,    25.00,     42.4,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,    -15.4,2,      3.4,     1.03,2,   0.0927,2,   0.0618,2,   0.0341,2,   0.0260,2,   0.0040,3,  -0.0024,4,  -0.0035,4,   0.0137,3,   0.0156,3,   6.5130,   6.5877,2
  33RR20070322,  I09N,    89,  3,     18,     18,2,20070326,1006,-28.3133,  95.0145, 3088, 905.8000,    905.8,   5.0729,  34.4010,2,  34.4021,2,    192.3,2,    188.7,2,    33.46,2,    30.05,2,     0.00,2,     2.15,2,    1.193,2,    0.599,2, -999.000,5,   2197.4,2,   2303.5,2,   7.6189,2,    25.00,     41.9,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,    -65.9,2,      2.9,     0.93,2,   0.1036,2,   0.0700,2,   0.0405,2,   0.0312,2,   0.0073,2,  -0.0008,4,  -0.0028,4,   0.0135,3,   0.0146,3,   4.9977,   5.0744,2
  33RR20070322,  I09N,    89,  3,     17,     17,2,20070326,1006,-28.3133,  95.0145, 3088,1006.6000,   1006.6,   4.3335,  34.4319,2,  34.4324,2,    175.9,2,    172.6,2,    48.74,2,    32.38,2,     0.00,2,     2.36,2,    0.639,2,    0.328,2, -999.000,5,   2221.8,6,   2318.1,2,   7.5854,2,    25.00,     41.7,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -102.8,2,      2.8,     0.77,2,   0.1166,2,   0.0789,2,   0.0443,2,   0.0335,2,   0.0090,2,  -0.0004,4,  -0.0027,4,   0.0139,3,   0.0151,3,   4.2548,   4.3328,2
  33RR20070322,  I09N,    89,  3,     16,     16,2,20070326,1006,-28.3133,  95.0145, 3088,1106.9000,   1106.9,   3.9595,  34.4804,2,  34.4819,2,    162.3,2,    158.0,2,    61.44,2,    33.73,2,     0.00,2,     2.45,2,    0.311,2,    0.170,2, -999.000,5,   2242.2,2,   2331.3,2,   7.5702,2,    25.00,     41.3,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -134.6,2,      2.8,     0.64,2,   0.1277,2,   0.0874,2,   0.0496,2,   0.0377,2,   0.0121,2,   0.0012,3,  -0.0018,4,   0.0137,3,   0.0147,3,   3.8752,   3.9621,2
