SampleID	Cruise	Station	Replicate	Date_Time	Day	Month	Year	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NOx	NH3	PO4	DOC	TOC	PAR	Chlorophyll	DCM	Season	Longhurst_Short	Longhurst_Long
22	P15S-2016-11435	P15S	Station_3	A	2016-6-17T02:26:00	17	6	16	02:26:00	-13	-170	23.7	5139	29.19	34.9	194	0.31	0.01	-0.02	NA	0.15	NA	NA	NA	0.06	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
23	P15S-2016-11436	P15S	Station_3	A	2016-6-17T02:26:00	17	6	16	02:26:00	-13	-170	5.7	5139	29.28	34.87	193.9	0.29	0.01	-0.03	0.03	0.15	NA	NA	NA	0.06	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
24	P15S-2016-11436	P15S	Station_3	A	2016-6-17T02:26:00	17	6	16	02:26:00	-13	-170	5.7	5139	29.28	34.87	193.9	0.29	0.01	-0.03	0.03	0.15	NA	NA	NA	0.06	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
25	P15S-2016-12101	P15S	Station_4	A	2016-6-18T02:44:00	18	6	16	02:44:00	-9.5	-169	5429.8	5373	1.15	34.71	205.2	118.17	0.01	31.87	NA	2.2	NA	NA	NA	0.06	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
26	P15S-2016-12101	P15S	Station_4	A	2016-6-18T02:44:00	18	6	16	02:44:00	-9.5	-169	5429.8	5373	1.15	34.71	205.2	118.17	0.01	31.87	NA	2.2	NA	NA	NA	0.06	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
27	P15S-2016-12134	P15S	Station_4	A	2016-6-18T02:44:00	18	6	16	02:44:00	-9.5	-169	62.1	5373	29.96	35.21	190	0.51	0.18	0.59	0.05	0.29	NA	NA	NA	0.06	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
28	P15S-2016-12134	P15S	Station_4	A	2016-6-18T02:44:00	18	6	16	02:44:00	-9.5	-169	62.1	5373	29.96	35.21	190	0.51	0.18	0.59	0.05	0.29	NA	NA	NA	0.06	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
29	P15S-2016-12135	P15S	Station_4	A	2016-6-18T02:44:00	18	6	16	02:44:00	-9.5	-169	35.9	5373	29.91	34.59	192.6	0.28	0.01	-0.05	NA	0.15	NA	NA	NA	0.06	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
30	P15S-2016-12135	P15S	Station_4	A	2016-6-18T02:44:00	18	6	16	02:44:00	-9.5	-169	35.9	5373	29.91	34.59	192.6	0.28	0.01	-0.05	NA	0.15	NA	NA	NA	0.06	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
31	P15S-2016-12136	P15S	Station_4	A	2016-6-18T02:44:00	18	6	16	02:44:00	-9.5	-169	5.3	5373	29.98	34.6	192.6	0.27	0.01	-0.05	0.02	0.15	NA	NA	NA	0.06	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
32	P15S-2016-12136	P15S	Station_4	A	2016-6-18T02:44:00	18	6	16	02:44:00	-9.5	-169	5.3	5373	29.98	34.6	192.6	0.27	0.01	-0.05	0.02	0.15	NA	NA	NA	0.06	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
33	P15S-2016-12801	P15S	Station_5	A	2016-6-20T01:47:00	20	6	16	01:47:00	-6	-168.75	5765.1	5685	1.27	34.71	199.7	120.16	0	31.77	NA	2.22	NA	NA	NA	NA	NA	Summer	PEQD	Trades - Pacific Equatorial Divergence Province
34	P15S-2016-12801	P15S	Station_5	A	2016-6-20T01:47:00	20	6	16	01:47:00	-6	-168.75	5765.1	5685	1.27	34.71	199.7	120.16	0	31.77	NA	2.22	NA	NA	NA	NA	NA	Winter	PEQD	Trades - Pacific Equatorial Divergence Province
35	P15S-2016-12813	P15S	Station_5	A	2016-6-20T01:47:00	20	6	16	01:47:00	-6	-168.75	2061	5685	2.2	34.64	-999	128.37	0	36.53	NA	2.62	NA	NA	NA	NA	NA	Summer	PEQD	Trades - Pacific Equatorial Divergence Province
36	P15S-2016-12813	P15S	Station_5	A	2016-6-20T01:47:00	20	6	16	01:47:00	-6	-168.75	2061	5685	2.2	34.64	-999	128.37	0	36.53	NA	2.62	NA	NA	NA	NA	NA	Winter	PEQD	Trades - Pacific Equatorial Divergence Province
