"Original_DNA_ID","Corrected_DNA_ID","Cast_Type"
"P16N-S18-N04","P16N-S18-N04","Trace_Metal"
"P16N-S18-N05","P16N-S18-N05","Trace_Metal"
"P16N-S18-N06","P16N-S18-N06","Trace_Metal"
"P16N-S18-N08","P16N-S18-N08","Trace_Metal"
"P16N-S18-N11","P16N-S18-N11","Trace_Metal"
"P16N-S18-N12","P16N-S18-N12","Trace_Metal"
"P16N-S21-N01","P16N-S21-N01","Trace_Metal"
"P16N-S21-N03","P16N-S21-N03","Trace_Metal"
"P16N-S21-N04","P16N-S21-N04","Trace_Metal"
"P16N-S21-N05","P16N-S21-N05","Trace_Metal"
"P16N-S21-N06","P16N-S21-N06","Trace_Metal"
"P16N-S21-N08","P16N-S21-N08","Trace_Metal"
"P16N-S21-N11","P16N-S21-N11","Trace_Metal"
"P16N-S21-N12","P16N-S21-N12","Trace_Metal"
"P16N-S26-N01","P16N-S26-N01","Trace_Metal"
"P16N-S26-N03","P16N-S26-N03","Trace_Metal"
"P16N-S26-N04","P16N-S26-N04","Trace_Metal"
"P16N-S26-N05","P16N-S26-N05","Trace_Metal"
"P16N-S26-N06","P16N-S26-N06","Trace_Metal"
"P16N-S26-N08","P16N-S26-N08","Trace_Metal"
"P16N-S26-N11","P16N-S26-N11","Trace_Metal"
"P16N-S26-N12","P16N-S26-N12","Trace_Metal"
"P16N-S32-N01","P16N-S32-N01","Trace_Metal"
"P16N-S32-N03","P16N-S32-N03","Trace_Metal"
"P16N-S32-N04","P16N-S32-N04","Trace_Metal"
"P16N-S32-N05","P16N-S32-N05","Trace_Metal"
"P16N-S32-N06","P16N-S32-N06","Trace_Metal"
"P16N-S32-N08","P16N-S32-N08","Trace_Metal"
"P16N-S32-N11","P16N-S32-N11","Trace_Metal"
"P16N-S32-N12","P16N-S32-N12","Trace_Metal"
"P16N-S36-N01","P16N-S36-N01","Trace_Metal"
"P16N-S36-N03","P16N-S36-N03","Trace_Metal"
"P16N-S36-N04","P16N-S36-N04","Trace_Metal"
"P16N-S36-N05","P16N-S36-N05","Trace_Metal"
"P16N-S36-N06","P16N-S36-N06","Trace_Metal"
"P16N-S36-N08","P16N-S36-N08","Trace_Metal"
"P16N-S36-N11","P16N-S36-N11","Trace_Metal"
"P16N-S36-N12","P16N-S36-N12","Trace_Metal"
"P16N-S40-N01","P16N-S40-N01","Trace_Metal"
"P16N-S40-N02","P16N-S40-N02","Trace_Metal"
"P16N-S40-N03","P16N-S40-N03","Trace_Metal"
"P16N-S40-N04","P16N-S40-N04","Trace_Metal"
"P16N-S40-N05","P16N-S40-N05","Trace_Metal"
"P16N-S40-N06","P16N-S40-N06","Trace_Metal"
"P16N-S40-N09","P16N-S40-N09","Trace_Metal"
"P16N-S40-N10","P16N-S40-N10","Trace_Metal"
"P16N-S47-N01","P16N-S47-N01","Trace_Metal"
"P16N-S47-N03","P16N-S47-N03","Trace_Metal"
"P16N-S47-N05","P16N-S47-N05","Trace_Metal"
"P16N-S47-N06","P16N-S47-N06","Trace_Metal"
"P16N-S47-N08","P16N-S47-N08","Trace_Metal"
"P16N-S47-N11","P16N-S47-N11","Trace_Metal"
"P16N-S47-N12","P16N-S47-N12","Trace_Metal"
"P16N-S51-N01","P16N-S51-N01","Trace_Metal"
"P16N-S51-N03","P16N-S51-N03","Trace_Metal"
"P16N-S51-N04","P16N-S51-N04","Trace_Metal"
"P16N-S51-N05","P16N-S51-N05","Trace_Metal"
"P16N-S51-N06","P16N-S51-N06","Trace_Metal"
"P16N-S51-N08","P16N-S51-N08","Trace_Metal"
"P16N-S51-N11","P16N-S51-N11","Trace_Metal"
"P16N-S51-N12","P16N-S51-N12","Trace_Metal"
"P16N-S55-N01","P16N-S55-N01","Trace_Metal"
"P16N-S55-N03","P16N-S55-N03","Trace_Metal"
"P16N-S55-N04","P16N-S55-N04","Trace_Metal"
"P16N-S55-N05","P16N-S55-N05","Trace_Metal"
"P16N-S55-N06","P16N-S55-N06","Trace_Metal"
"P16N-S55-N08","P16N-S55-N08","Trace_Metal"
"P16N-S55-N11","P16N-S55-N11","Trace_Metal"
"P16N-S55-N12","P16N-S55-N12","Trace_Metal"
"P16N-S61-N01","P16N-S61-N01","Trace_Metal"
"P16N-S61-N03","P16N-S61-N03","Trace_Metal"
"P16N-S61-N04","P16N-S61-N04","Trace_Metal"
"P16N-S61-N05","P16N-S61-N05","Trace_Metal"
"P16N-S61-N06","P16N-S61-N06","Trace_Metal"
"P16N-S61-N08","P16N-S61-N08","Trace_Metal"
"P16N-S61-N11","P16N-S61-N11","Trace_Metal"
"P16N-S61-N12","P16N-S61-N12","Trace_Metal"
"P16N-S66-N01","P16N-S66-N01","Trace_Metal"
"P16N-S66-N03","P16N-S66-N03","Trace_Metal"
"P16N-S66-N04","P16N-S66-N04","Trace_Metal"
"P16N-S66-N05","P16N-S66-N05","Trace_Metal"
"P16N-S66-N06","P16N-S66-N06","Trace_Metal"
"P16N-S66-N08","P16N-S66-N08","Trace_Metal"
"P16N-S66-N11","P16N-S66-N11","Trace_Metal"
"P16N-S66-N12","P16N-S66-N12","Trace_Metal"
"P16N-S72-N01","P16N-S72-N01","Trace_Metal"
"P16N-S72-N03","P16N-S72-N03","Trace_Metal"
"P16N-S72-N04","P16N-S72-N04","Trace_Metal"
"P16N-S72-N05","P16N-S72-N05","Trace_Metal"
"P16N-S72-N06","P16N-S72-N06","Trace_Metal"
"P16N-S72-N08","P16N-S72-N08","Trace_Metal"
"P16N-S72-N11","P16N-S72-N11","Trace_Metal"
"P16N-S72-N12","P16N-S72-N12","Trace_Metal"
